id,annee,url,participant,non_partant,non_place,tombé,disqualifié
dXdodlJzTFVzMUFRT0FrOERIWDIyQT09,2020,https://www.france-galop.com/fr/course/detail/2020/P/dXdodlJzTFVzMUFRT0FrOERIWDIyQT09,15,4,0,0,0
c0xHRGZBeWkzcDhqa1orc0xLRjdQZz09,2019,https://www.france-galop.com/fr/course/detail/2019/P/c0xHRGZBeWkzcDhqa1orc0xLRjdQZz09,12,0,0,0,0
VWx6R3k1MTVUNWFtY2lac1J1MGRpdz09,2018,https://www.france-galop.com/fr/course/detail/2018/P/VWx6R3k1MTVUNWFtY2lac1J1MGRpdz09,19,0,0,0,0
aVluMkQ4cXNQS3JEanlXR04vR2Rkdz09,2017,https://www.france-galop.com/fr/course/detail/2017/P/aVluMkQ4cXNQS3JEanlXR04vR2Rkdz09,18,0,0,0,0
NnJNYW1oY1JuTmNlUi9Wa2NaNXpsQT09,2016,https://www.france-galop.com/fr/course/detail/2016/P/NnJNYW1oY1JuTmNlUi9Wa2NaNXpsQT09,16,0,0,0,0
MWlGcFp6YVFvMGRuSURmdUhqeFp5Zz09,2015,https://www.france-galop.com/fr/course/detail/2015/P/MWlGcFp6YVFvMGRuSURmdUhqeFp5Zz09,18,1,0,0,0
ZTlZWnpxR25DVmtNeGVlelFkclBNdz09,2014,https://www.france-galop.com/fr/course/detail/2014/P/ZTlZWnpxR25DVmtNeGVlelFkclBNdz09,20,0,0,0,0
THhJSjhIcmx4eEx1Sm1XMy92WWVOdz09,2013,https://www.france-galop.com/fr/course/detail/2013/P/THhJSjhIcmx4eEx1Sm1XMy92WWVOdz09,18,1,0,0,0
Tmg4UnR3VzdQNEFSVjNqNjBVMlc5QT09,2012,https://www.france-galop.com/fr/course/detail/2012/P/Tmg4UnR3VzdQNEFSVjNqNjBVMlc5QT09,18,0,8,0,0
TnJINVNUR1d3WGlCcUM5dUpZVDZwdz09,2011,https://www.france-galop.com/fr/course/detail/2011/P/TnJINVNUR1d3WGlCcUM5dUpZVDZwdz09,16,0,6,0,0
N3RycGd1V3UxVFB2NjNyOW4yS1FwZz09,2010,https://www.france-galop.com/fr/course/detail/2010/P/N3RycGd1V3UxVFB2NjNyOW4yS1FwZz09,20,1,8,0,1
YmwwSDJwc1ZINkhOVUQ0d2JvbUFyUT09,2009,https://www.france-galop.com/fr/course/detail/2009/P/YmwwSDJwc1ZINkhOVUQ0d2JvbUFyUT09,19,0,9,0,0
N3M4RzZFRmF4T1ZRUW5sVTkzWm44dz09,2008,https://www.france-galop.com/fr/course/detail/2008/P/N3M4RzZFRmF4T1ZRUW5sVTkzWm44dz09,16,0,6,0,0
M2sxMDRKTkMyZkZ2cW1XMFRvdlFEdz09,2007,https://www.france-galop.com/fr/course/detail/2007/P/M2sxMDRKTkMyZkZ2cW1XMFRvdlFEdz09,12,0,2,0,0
TVNuUy9QTG8zRis1WWg3bWdHYm5sdz09,2006,https://www.france-galop.com/fr/course/detail/2006/P/TVNuUy9QTG8zRis1WWg3bWdHYm5sdz09,8,0,0,0,1
eXJuK0wwOUJJSTVvUjdIcUR3ZWtMdz09,2005,https://www.france-galop.com/fr/course/detail/2005/P/eXJuK0wwOUJJSTVvUjdIcUR3ZWtMdz09,15,0,5,0,0
TUNYNVg0NEF4Uk9QOGoyUVFFTUhJdz09,2004,https://www.france-galop.com/fr/course/detail/2004/P/TUNYNVg0NEF4Uk9QOGoyUVFFTUhJdz09,20,1,9,0,0
dW5WVkFMdVp5dld1cjhNSmNEUUFrdz09,2003,https://www.france-galop.com/fr/course/detail/2003/P/dW5WVkFMdVp5dld1cjhNSmNEUUFrdz09,14,1,3,0,0
bEJ4OE11dGZUSkIwRWp2RW5BLzZPQT09,2002,https://www.france-galop.com/fr/course/detail/2002/P/bEJ4OE11dGZUSkIwRWp2RW5BLzZPQT09,16,0,6,0,0
SEpJc1NxR3pmNDFoaE9JR2JrODAzZz09,2001,https://www.france-galop.com/fr/course/detail/2001/P/SEpJc1NxR3pmNDFoaE9JR2JrODAzZz09,17,0,7,0,0
aEdrbGdqZ1N1SEpncmJwUXdDUnJYUT09,2000,https://www.france-galop.com/fr/course/detail/2000/P/aEdrbGdqZ1N1SEpncmJwUXdDUnJYUT09,10,0,0,0,0
R21WbFZRdWs5ZENuRDI4VTA1cVZudz09,1999,https://www.france-galop.com/fr/course/detail/1999/P/R21WbFZRdWs5ZENuRDI4VTA1cVZudz09,14,0,7,0,0
Z0lmNEdEek1SS2hQUnpHV083Y2tvZz09,1998,https://www.france-galop.com/fr/course/detail/1998/P/Z0lmNEdEek1SS2hQUnpHV083Y2tvZz09,14,0,7,0,0
ZThhQWxIcVBmVmFLUGhqSjlVeVNRdz09,1997,https://www.france-galop.com/fr/course/detail/1997/P/ZThhQWxIcVBmVmFLUGhqSjlVeVNRdz09,18,0,8,0,0
VmdtNEFzbExvWVlVNmhsVjJvVndjUT09,1996,https://www.france-galop.com/fr/course/detail/1996/P/VmdtNEFzbExvWVlVNmhsVjJvVndjUT09,16,0,5,1,0
MkdmVHpwVWgzODl2SG9PbWk0U0xJdz09,1995,https://www.france-galop.com/fr/course/detail/1995/P/MkdmVHpwVWgzODl2SG9PbWk0U0xJdz09,16,0,6,0,0
ZHAza0JCa2FHMmZ6bkM1dmtLNXhzUT09,1994,https://www.france-galop.com/fr/course/detail/1994/P/ZHAza0JCa2FHMmZ6bkM1dmtLNXhzUT09,20,0,10,0,0
L0x5MXVOQjl5UjdDSWdFZjc2d0ZLZz09,1993,https://www.france-galop.com/fr/course/detail/1993/P/L0x5MXVOQjl5UjdDSWdFZjc2d0ZLZz09,23,0,13,0,0
