,Place,Cheval,ChevalId,N°,Père/Mère,Écart au précédent,Couleurs,Propriétaire,Entraîneur,Jockey,Poids,Gain,Prim. prop.,Prim. elev.,Suppl.,Œil.,Écurie.,Éleveurs
31,2,highland reel ire m.ps. 4 a.,QUZJRXFPMDJrZGhUM2J2anJBbjlvdz09,4.0,Par: GALILEO  et HVEGER (DANEHILL),7/4 (Corde:11),,D.SMITH/MME J.MAGNIER/M.TABOR,AP. O'BRIEN,JAMES-ANTHONY  HEFFERNAN,"59,5kg",1.143.000,,,,,,HVEGER SYNDICATE
140,1,urban sea usa f.ps. 4 a.,QVBjY3U4T0hlMHhpcHpRQndEKzQwUT09,0.0,Par: MISWAKI  et ALLEGRETTA (LOMBARD),(Corde:09),,DAVID  TSUI,J. LESBORDES,MR ERIC  SAINT-MARTIN,"57,5kg",762.245,,,,,,MARYSTEAD FARM
301,5,islington ire f.ps. 3 a.,QjZ0UVJQeU5nemVUcUkxMnBDZk1TUT09,16.0,Par: SADLER'S WELLS  et HELLENIC (DARSHAAN),CTE (Corde:09),,SUC. LORD  WEINSTOCK,SIR MR. STOUTE,KIEREN-FRANCIS  FALLON,"54,5kg",45.76,,,,,,BALLYMACOLL STUD FARM LTD
29,--,yellowstone ire m.ps. 3 a.,QkdLOENhdzBPbllkcm50WWtyVW13Zz09,9.0,Par: ROCK OF GIBRALTAR  et LOVE AND AFFECTION (EXCLUSIVE ERA),(Corde:09),,M.TABOR/MME J.MAGNIER/D.SMITH,AP. O'BRIEN,SUC. PATRICK JOSEPH  SMULLEN,56 kg,,,,,,1.0,TULLAMAINE CASTLE STUD & PARTN
135,--,robin hood ire m.ps. 4 a.,QkhLaXpvdlBPbTdCT1MzK1pKWUhwdz09,5.0,Par: GALILEO  et BANQUISE (LAST TYCOON),(Corde:12),,MME J. MAGNIER/M.TABOR/D.SMITH,AP. O'BRIEN,JAMES-ANTHONY  HEFFERNAN,"59,5kg",,,,,,1.0,LYNCH-BAGES LTD
376,8,silver pond  m.ps. 4 a.,QzNZVWIrMnp1SmI5ZTFkMGd3NmlOdz09,3.0,Par: ACT ONE  et SILVER FAME (QUEST FOR FAME),3/4 (Corde:15),,SAEED NASSER  AL ROMAITHI,C. LAFFON-PARIAS,MR THIERRY  THULLIEZ,"59,5kg",,,,,,,HARAS DU QUESNAY
378,10,hiruno d'amour jpn m.ps. 4 a.,R1hVbXF5bW9rT2ZlK3YxSGU1NmlnZz09,4.0,Par: MANHATTAN CAFE  et SHARE ELEGANCE (LAMMTARRA),3/4 (Corde:01),,MASAFUMI  HIRUKAWA,M. KON,SHINJI  FUJITA,"59,5kg",,,,,,,HASHIMOTO BOKUJO
363,--,plumania (gb) f.ps. 4 a.,R1pOYmw0WDNHVEN5Vk1ZcXpJMVozUT09,12.0,Par: ANABAA  et FEATHERQUEST (RAINBOW QUEST),(Corde:15),,WERTHEIMER & FRERE,A. FABRE,OLIVIER  PESLIER,58 kg,,,,,,,WERTHEIMER & FRERE
113,8,leeds (ire) m.ps.+,R2VBaHVicytuVkNpN2pZYzNWdWlNZz09,6.0,Par: LAW SOCIETY  et MISS PERSIA (PERSIAN BOLD),1/2 (Corde:08),,SUC. ROLAND  SOULA,SUC. H. VAN DE POELE,OLIVIER  DOLEUZE,"59,5kg",,,,,,,SUC. R. SOULA
265,3,apple tree  m.ps. 5 a.,R3kwbmR3ZnRKYlpjR2NuOG5OcmJ4UT09,0.0,Par: BIKALA  et POMME ROSE (CARVIN),1/2 (Corde:01),,SULTAN  AL KABEER,A. FABRE,MR JOHN-ANDREW  REID,59 kg,121.959,,19.056,,,,SUC. P.DE MOUSSAC
243,11,avenir certain  f.ps. 3 a.,REdDazBNSHVPeDUxRzdXNElncFVBQT09,16.0,Par: LE HAVRE  et PUGGY (MARK OF ESTEEM),3/4 (Corde:01),,A.CARO/G.AUGUSTIN-NORMAND,JC. ROUGET-(S),CHRISTOPHE-PATRICE  LEMAIRE,"54,5kg",,,,,,,MME E. RIBARD
408,7,kiseki jpn m.ps. 5 a.,RGpqVzFISThLazdkQm1zRVFKaDJuUT09,4.0,Par: RULERSHIP  et BLITZ FINALE (DEEP IMPACT),8.L (Corde:07),,MME TATSUE  ISHIKAWA,K. SUMII,CHRISTOPHE  SOUMILLON,"59,5kg",,,,,,,SHIMOKOBE FARM
229,--,my emma gb f.ps. 4 a.,RHNZanF6WGpyWi9QcGJER2VERWJnUT09,12.0,Par: MARJU  et PATO (HIGH TOP),(Corde:14),,MATTHEWS BREEDING AND RACING,RAE. GUEST,DARRYLL-PAUL  HOLLAND,58 kg,,,,,,,LORD  MATTHEWS
222,8,que belle can f.ps. 3 a.,RHo4V2NlSGlxNmVqWVhxZi9mVnpIUT09,16.0,Par: SEATTLE DANCER  et QUI BID (SPECTACULAR BID),1.5 (Corde:06),,STALL STOOF,H. REMMERT,MR KEVIN  WOODBURN,"54,5kg",,,,,,,HEDGESTONE MANAGEMENT
321,9,carling  f.ps. 3 a.,RTI1djZ1UDBmOFdmL3Npc3VCKzYxZz09,16.0,Par: GARDE ROYALE  et CORRALEJA (CARVIN),8.L (Corde:13),,TERUYA  YOSHIDA,MME C. BARANDE BARBE,MR THIERRY  THULLIEZ,"54,5kg",,,,,,,SUC. J. DELBART
240,8,just a way jpn m.ps. 5 a.,RVl2a3lEc1FkYTlvdW1mV0FSRXdOUT09,7.0,Par: HEART'S CRY  et SIBYL (WILD AGAIN),CTT (Corde:14),,AKATSUKI  YAMATOYA,N. SUGAI,YUICHI  FUKUNAGA,"59,5kg",,,,,,,SHADAI CORPORATION INC
304,8,fair mix (ire) m.ps. 4 a.,RWNDQk00cG02VnVyMzVRaHFmS3RtZz09,1.0,Par: LINAMIX  et FAIRLEE WILD (WILD AGAIN),1.5 (Corde:15),,ECURIE WEEK-END,MARC. ROLLAND,STEPHANE  PASQUIER,"59,5kg",,,,,,,SNC  LAGARDERE ELEVAGE
179,17,clincher jpn m.ps. 4 a.,RWQ1TlhMdGFJMUhUS0dhQksxc3M1QT09,9.0,Par: DEEP SKY  et THE FATES (BRIAN'S TIME),(Corde:01),,KOJI  MAEDA,H. MIYAMOTO,YUTAKA  TAKE,"59,5kg",,,,,,,HIRAYAMA BOKUJO
219,5,predappio gb m.ps. 4 a.,RWUra25OV0hpbno0VndHZ2cwTktjZz09,6.0,Par: POLISH PRECEDENT  et KHALAFIYA (DARSHAAN),CTT (Corde:11),,GODOLPHIN,S. BIN SUROOR,MR JOHN-ANDREW  REID,"59,5kg",30.49,,,,,1.0,CHEIK MOBR. AL MAKTOUM
212,16,very nice name  m.ps. 4 a.,RWZHOFk2dm1RMytaUCtzTU4xZ0Q3QT09,1.0,Par: WHIPPER  et NAMONA (HALLING),(Corde:01),,S.A. CHEIKH ABDULLAH BIN KHALIFA  AL THA,A.DE MIEULLE,PIERANTONIO  CONVERTINO,"59,5kg",,,,,,,R. BOUCRET
434,7,high rise ire m.ps. 3 a.,RXhxU0k1a0ZVWVVyT0RSRWYrcG5sUT09,6.0,Par: HIGH ESTATE  et HIGH TERN (HIGH LINE),T (Corde:06),,CHEIK MOHAMMED OBAID  AL MAKTOUM,LM. CUMANI,MR MICHAEL J.  KINANE,56 kg,,,,,,,CHEIK MOBR. AL MAKTOUM
44,15,migwar (ire) m.ps. 4 a.,Rk1Hd2ZZNXgza0VvaHg5S01kZjBkUT09,3.0,Par: SEA THE STARS  et KATYUSHA (KINGMAMBO),5/4 (Corde:13),,S.A. CHEIKH ABDULLAH BIN KHALIFA  AL THA,FRE. HEAD (S),OLIVIER  PESLIER,"59,5kg",,,,,,,V. TYMOSHENKO
320,8,gunboat diplomacy  m.ps.+,RkY3Uzg1TCt1TDkwTDVMWUM2a2VkZz09,7.0,Par: DOMINION  et SINGAPORE GIRL (LYPHARD),1.L (Corde:08),,SUC. DANIEL  WILDENSTEIN,E. LELLOUCHE,MR DOMINIQUE  BOEUF,"59,5kg",,,,,,2.0,"LONDON THOROUGHBRED SERVICES, G. STRAWBRIDGE"
199,3,intello (ger) m.ps. 3 a.,Rm8xbnU4bFU3SkNHTmUvajc2c0xYUT09,17.0,Par: GALILEO  et IMPRESSIONNANTE (DANEHILL),ENC (Corde:09),,WERTHEIMER & FRERE,A. FABRE (S),OLIVIER  PESLIER,56 kg,548.640,,17.602,,,,WERTHEIMER & FRERE
453,--,schiaparelli ger m.ps. 5 a.,RytjT25OdVpEVlhBbHFFYzBUdXAyQT09,4.0,Par: MONSUN  et SACARINA (OLD VIC),(Corde:10),,GODOLPHIN,S. BIN SUROOR,LANFRANCO  DETTORI,"59,5kg",,,,,,,GESTUT KARLSHOF
312,--,ana marie  f.ps. 3 a.,S0Iza3YvSXpueEtNOWpPWjZPZGFUdz09,15.0,Par: ANABAA  et MARIE DE KEN (KENDOR),(Corde:10),,SCEA . ECURIE BADER,P. DEMERCASTEL,MR DAVY  BONILLA,"54,5kg",,,,,,,SCEA  ECURIE BADER
170,8,nelson ire m.ps. 3 a.,S0RNK2hRbnlXdWM1VE5ZNHAzdno1Zz09,17.0,Par: FRANKEL  et MOONSTONE (DALAKHANI),ENC (Corde:03),,MME J. MAGNIER/M.TABOR/D.SMITH,AP. O'BRIEN,MICHAEL CHRISTOPHER  HUSSEY,"56,5kg",,,,,,3.0,"ORPENDALE,  CHELSTON (IRELAND),  WYNATT"
419,6,greek dance ire m.ps. 4 a.,S1V3bDJ3elR2M28vODRMckRuczVZQT09,6.0,Par: SADLER'S WELLS  et HELLENIC (DARSHAAN),ENC (Corde:05),,SUC. LORD  WEINSTOCK,SIR MR. STOUTE,KIEREN-FRANCIS  FALLON,"59,5kg",,,,,,,BALLYMACOLL STUD FARM LTD
17,NP,MELEAGROS,SCtLRU5VVkVkK1ZGMjVBamZTWTZFUT09,4.0,CERTIFICAT VETERINAIRE,,,,,,,,,,,,,
359,--,pouvoir absolu (gb) m.ps. 5 a.,SDl5SnR4Rmd6V3oyV0dFNVVTMkcxQT09,4.0,Par: SADLER'S WELLS  et PINE CHIP (NUREYEV),(Corde:02),,ECURIE WILDENSTEIN,E. LELLOUCHE,SAMUEL  FARGEAT,"59,5kg",,,,,,2.0,DAYTON INVESTMENTS LTD
5,6,free eagle ire m.ps. 4 a.,SGJDenBYdWpaWXFERUJ6eWRBU1lNUT09,7.0,Par: HIGH CHAPARRAL  et POLISHED GEM (DANEHILL),ENC (Corde:12),,MOYGLARE STUD FARM LTD,DK. WELD,SUC. PATRICK JOSEPH  SMULLEN,"59,5kg",,,,,,,MOYGLARE STUD FARM LTD
0,1,golden horn gb m.ps. 3 a.,SHpmdDVUam5PNDMyOTJuWDJBVUFidz09,16.0,Par: CAPE CROSS  et FLECHE D'OR (DUBAI DESTINATION),(Corde:14),,ANTHONY  OPPENHEIMER,J. GOSDEN,LANFRANCO  DETTORI,56 kg,2.857.000,,,S,,,HASCOMBE AND VALIANT STUDS
394,10,foreign affairs gb m.ps. 3 a.,SUVEMTFjeEQ4bTA4cEV4MEJpV2ZuUT09,14.0,Par: HERNANDO  et ENTENTE CORDIALE (AFFIRMED),4.L (Corde:13),,THE SPECULATORS,SIR M. PRESCOTT,GEORGE  DUFFIELD,56 kg,,,,S,,,MLLE K. RAUSING
208,12,leading light ire m.ps. 3 a.,SW1mT05IeUpoYkVjSGl3M3BWbW9Tdz09,11.0,Par: MONTJEU  et DANCE PARADE (GONE WEST),(Corde:05),,D.SMITH/MME J.MAGNIER/M.TABOR,AP. O'BRIEN,GERALD  MOSSE,56 kg,,,,S,,1.0,LYNCH-BAGES LTD
114,9,leonila ire f.ps. 3 a.,SWlKZFJ5a3FkSGdDcHdmQVo4RmowQT09,16.0,Par: CAERLEON  et DINALINA (TOP VILLE),CTT (Corde:04),,R.C.  STRAUSS,ROB. COLLET,MR GUY  GUIGNARD,"54,5kg",,,,,,,KILFRUSH STUD FARM
75,4,conduit ire m.ps. 4 a.,SXRnUEJUcVJTcjZpSkY2ZHJCZzZsQT09,2.0,Par: DALAKHANI  et WELL HEAD (SADLER'S WELLS),T (Corde:12),,BALLYMACOLL STUD FARM LTD,SIR MR. STOUTE,RYAN-LEE  MOORE,"59,5kg",228.400,,,,,,BALLYMACOLL STUD FARM LTD
82,--,the bogberry usa m.ps. 4 a.,SlFKWldCajFReWxLNG1wbnNYbldDZz09,5.0,Par: HAWK WING  et LAHINCH (DANEHILL DANCER),(Corde:18),,SERGEY  EFROS,A.DE ROYER DUPRE,MAGOMET A.  KAPPUSHEV,"59,5kg",,,,,,,MARCH THOROUGHBREDS
439,--,dream well  m.ps. 3 a.,SzlTc1FMTk5YODJpTUtITG4rdUY2QT09,9.0,Par: SADLER'S WELLS  et SOUL DREAM (ALLEGED),(Corde:14),,FAMILLE NIARCHOS/J.L. BOUCHARD,P. BARY (S),CASH  ASMUSSEN,56 kg,,,,,,,SUC. S. NIARCHOS
87,--,tangaspeed  f.ps. 4 a.,T21FMkpQRDZnRzYvZXRZRHR5VUFCdz09,11.0,Par: VERTICAL SPEED  et FITANGA (FIJAR TANGO),(Corde:11),,R.PIRES/MME L.GAGNEUX,ROB. LAPLANCHE,IORITZ  MENDIZABAL,58 kg,,,,,,,MME L. GAGNEUX
343,--,tap dance city usa m.ps. 7 a.,T21PQ0x0TzdNUEdMTHZ2OEJ2QU5PUT09,6.0,Par: PLEASANT TAP  et ALL DANCE (NORTHERN DANCER),(Corde:18),,YUSHUN HORSE CLUB CO. LTD,S. SASAKI,TETSUZO  SATO,"59,5kg",,,,,,,"ECHO VALLEY HORSE FARM,  SWETTENHAM STUD"
215,1,peintre celebre usa m.ps. 3 a.,T29BOHFrSVdxK0RGdGYzejBxNnZ6dz09,13.0,Par: NUREYEV  et PEINTURE BLEUE (ALYDAR),(Corde:02),,SUC. DANIEL  WILDENSTEIN,A. FABRE,OLIVIER  PESLIER,56 kg,609.796,,,,,,ALLEZ FRANCE STABLES
235,3,taghrooda gb f.ps. 3 a.,T2ZmWGFFYXYxWWQ2LzBDdXY0WWR5QT09,18.0,Par: SEA THE STARS  et EZIMA (SADLER'S WELLS),5/4 (Corde:15),,SHADWELL FRANCE,J. GOSDEN,PAUL  HANAGAN,"54,5kg",571.500,,,,,,SHADWELL ESTATE CO. LTD
423,--,fantastic light usa m.ps. 3 a.,TE5HN1AwZGpoU05FNlhZS1RwMEN2UT09,9.0,Par: RAHY  et JOOD (NIJINSKY),(Corde:13),,SUC. MAKTOUM  AL MAKTOUM,SIR MR. STOUTE,MR JOHN-ANDREW  REID,56 kg,,,,,,,GAINSBOROUGH FARM INC.
322,10,balanchine usa f.ps. 4 a.,TE5RWXhVWGZtZDRIQU5hcGFCaVFrUT09,9.0,Par: STORM BIRD  et MORNING DEVOTION (AFFIRMED),CTE (Corde:02),,MAKTOUM AL MAKTOUM/GODOLPHIN,S. BIN SUROOR,MR WALTER-ROBERT  SWINBURN,58 kg,,,,,,1.0,SWETTENHAM STUD
64,1,rail link gb m.ps. 3 a.,TFRBMCs2V2N4RXRvVEJJd20xY2loUT09,5.0,Par: DANSILI  et DOCKLANDS (THEATRICAL),(Corde:04),,SUC. KHALID  ABDULLAH,A. FABRE,STEPHANE  PASQUIER,56 kg,1.142.800,,,,,,JUDDMONTE FARMS IRELAND
127,6,great heavens gb f.ps. 3 a.,TFZLdHZSZEpvVkVNSzlxeWM5dm4vZz09,18.0,Par: GALILEO  et MAGNIFICIENT STYLE (SILVER HAWK),2.5 (Corde:07),,SUC. LADY  ROTHSCHILD,J. GOSDEN,WILLIAM  BUICK,"54,5kg",,,,S,,,KINCORTH INVESTMENTS INC
319,7,partipral (usa) m.ps. 6 a.,THBkV2VycFhzbGI5emwrR1dwa1k0QT09,5.0,Par: PROCIDA  et PARTITION (TOP VILLE),1.L (Corde:09),,SUC. ENRIQUE  SARASOLA,E. LELLOUCHE,MR GUY  GUIGNARD,"59,5kg",,,,,,,THORP INVESTMENTS LTD
155,--,dariyoun usa m.ps. 5 a.,THRoZUJPek96MWVHSmhscGVSWUYxZz09,0.0,Par: SHAHRASTANI  et DARARA (TOP VILLE),(Corde:08),,MME MARIA-SOLEDAD  VIDAL,C. LAFFON-PARIAS,OLIVIER  DOLEUZE,59 kg,,,,,,,S.A.  AGA KHAN
78,7,la boum ger f.ps. 6 a.,THhiOWRPeDdkdHRkMFpuSkdhRDZGUT09,12.0,Par: MONSUN  et LA BOUCHE (IN THE WINGS),1/2 (Corde:08),,EMMANUEL  TRUSSARDI,ROB. COLLET (S),THIERRY  JARNET,58 kg,,,,,,,GESTUT KARLSHOF
52,7,iquitos ger m.ps. 5 a.,TTFWM04rREc0aTFGcVl2Zyt5dVZJZz09,11.0,Par: ADLERFLUG  et IRIKA (AREION),T (Corde:06),,STALL MULLIGAN,HJ. GROSCHEL,ANDRASCH  STARKE,"59,5kg",,,,,,,MME E. BUHMANN
447,6,ask gb m.ps. 5 a.,TUlnUHpYTm15RUo2Q2NVSjFqU0pDUT09,3.0,Par: SADLER'S WELLS  et REQUEST (RAINBOW QUEST),ENC (Corde:15),,PATRICK  FAHEY,SIR MR. STOUTE,RYAN-LEE  MOORE,"59,5kg",,,,,,,SIDE HILL STUD
53,8,idaho ire m.ps. 4 a.,TVhMSVg4TlJHU2EwZFVuVHFsRVVXUT09,7.0,Par: GALILEO  et HVEGER (DANEHILL),NEZ (Corde:07),,M.TABOR/D.SMITH/MME J.MAGNIER,AP. O'BRIEN,JAMES-ANTHONY  HEFFERNAN,"59,5kg",,,,,,2.0,HVEGER SYNDICATE
83,--,steele tango usa m.ps. 4 a.,TWNvYXlyZytKS1pqaGpVbG01bE1LQT09,6.0,Par: OKAWANGO  et WALTZING AROUND (ELA MANA MOU),(Corde:07),,THE THIRTY ACRE RACING PARTNER,RA. TEAL,DARRYLL-PAUL  HOLLAND,"59,5kg",,,,,,,T. ZWIESLER
310,--,manhattan cafe jpn m.ps. 4 a.,TWZ4T3dBcGptelhUbktJTkNjSS9Qdz09,8.0,Par: SUNDAY SILENCE  et SUBTLE CHANGE (LAW SOCIETY),(Corde:12),,K. NISHIKAWA/T. YOSHIDA,F. KOJIMA,MASAYOSHI  EBINA,"59,5kg",,,,,,,SHADAI FARM
381,--,treasure beach gb m.ps. 3 a.,TjA5WmVBelpYQnRiSXhBS0Fyck1GUT09,9.0,Par: GALILEO  et HONORINE (MARK OF ESTEEM),(Corde:12),,D.SMITH/MME J.MAGNIER/M.TABOR,AP. O'BRIEN,COLM  O'DONOGHUE,56 kg,,,,,,1.0,ASHLEY HOUSE STUD
128,7,camelot gb m.ps. 3 a.,TjEyUFdzSXRsMGdXaXRCcXZWN3gydz09,13.0,Par: MONTJEU  et TARFAH (KINGMAMBO),1.L (Corde:05),,D.SMITH/M.TABOR/MME J.MAGNIER,AP. O'BRIEN,LANFRANCO  DETTORI,56 kg,,,,,,1.0,CHEIK A. AL KHALIFA
231,--,queen maud ire f.ps. 3 a.,TjJRdjZld1RGQWRxTWpubmxFeTd5dz09,17.0,Par: AKARAD  et MODIYNA (NISHAPOUR),(Corde:16),,GARY A.  TANAKA,J.DE ROUALLE,THIERRY  JARNET,"54,5kg",,,,,,,"BARRONSTOWN STUD,  RON CON LTD"
39,10,vedevani  m.ps. 3 a.,TnQrMC85ZWdnMFJtZ0ZRbEZyLzJUQT09,12.0,Par: DUBAWI  et VADAWINA (UNFUWAIN),2.L (Corde:01),,H.H.   AGA KHAN,A.DE ROYER DUPRE,ALEXIS  BADEL,56 kg,,,,,,1.0,HARAS DE S.A. AGA KHAN SCEA
151,--,armiger gb m.ps. 3 a.,U05CRWlMR0VRUStmRTk1QldwRjFDUT09,0.0,Par: RAINBOW QUEST  et ARMERIA (NORTHERN DANCER),(Corde:02),,SUC. KHALID  ABDULLAH,SUC. HRA. CECIL,WILLIAM-FISCHER  CARSON,56 kg,,,,,,,JUDDMONTE FARMS IRELAND
146,7,misil usa m.ps. 5 a.,U0FsaDZKaXQ1M04veHZjZ2g1S0JQQT09,0.0,Par: MISWAKI  et APRIL EDGE (THE AXE II),3/4 (Corde:11),,LAGHI SNC DI G. SAIBENE,V. CARUSO,LANFRANCO  DETTORI,59 kg,,,,,,,GW. HUMPHREY
13,14,frine ire f.ps. 5 a.,U3ErcmtqUjhsRDdPS0FheXdpNlBVQT09,10.0,Par: HIGH CHAPARRAL  et CASTALIA (CARDOUN),3/4 (Corde:06),,DUC  D' ALBURQUERQUE,C. LAFFON-PARIAS,OLIVIER  PESLIER,58 kg,,,,,,,DUC D' ALBURQUERQUE
145,6,bob's return ire m.ps. 3 a.,UFJyRjg3WkxsaVdXWDllTUtncnhXZz09,0.0,Par: BOB BACK  et QUALITY OF LIFE (AUCTION RING),1.5 (Corde:12),,MME G.A.E.  SMITH,MH. TOMPKINS,PHILIP-PETER  ROBINSON,56 kg,,,,,,,BARONRATH STUD LTD
317,5,pure grain gb f.ps. 3 a.,UGROVTFmRkRDbjhORkYwbk5ObzdlQT09,15.0,Par: POLISH PRECEDENT  et MILL LINE (MILL REEF),2.5 (Corde:04),,ROBERT  BARNETT,SIR MR. STOUTE,MR JOHN-ANDREW  REID,"54,5kg",30.49,,,,,,W. & R. BARNETT LTD
159,--,platini ger m.ps. 4 a.,UHVSSUNTdnUreXRTb2RQMVFmSyt3QT09,0.0,Par: SURUMU  et PRAIRIE DARLING (STANFORD),(Corde:17),,STALL STEIGENBERGER,SUC. B. SCHUTZ,MARK  RIMMER,59 kg,,,,,,,"MME E. STEIGENBERGER,MME A. STEIGENBERGER"
90,--,grand ducal ire m.ps. 3 a.,UTBLamNvYSs0QnZrWHJESXc2WDVkZz09,17.0,Par: DANEHILL DANCER  et MOOD SWINGS (SHIRLEY HEIGHTS),(Corde:05),,MME J. MAGNIER/M.TABOR/D.SMITH,AP. O'BRIEN,SUC. PATRICK JOSEPH  SMULLEN,56 kg,,,,,,1.0,"A. STROUD, JF. HANLY"
433,6,fragrant mix (ire) m.ps.+,UTFsekZtRUQ4TnNRTW4rck0zU1Zwdz09,3.0,Par: LINAMIX  et FRAGRANT HILL (SHIRLEY HEIGHTS),1/2 (Corde:01),,SNC   LAGARDERE ELEVAGE,A. FABRE,MR ALAIN  JUNK,"59,5kg",,,,,,2.0,SNC  LAGARDERE ELEVAGE
232,--,gazelle royale  f.ps. 3 a.,UU0rT3pmTDFIZVN6MGg5Wm9ISnpFUT09,18.0,Par: GARDE ROYALE  et BEAUTYWAL (MAGWAL),(Corde:04),,KATSUMI  YOSHIDA,JE. HAMMOND,MICHAEL  ROBERTS,"54,5kg",,,,,,,MME J. BESNOUIN
309,--,sensible  m.ps. 4 a.,UUpzcTgxS05zWSs3Mi9vUVVoR252dz09,7.0,Par: SADLER'S WELLS  et RAISONNABLE (COMMON GROUNDS),(Corde:06),,FAMILLE  NIARCHOS,P. BARY (S),CHRISTOPHE-PATRICE  LEMAIRE,"59,5kg",,,,,,1.0,SUC. S. NIARCHOS
200,4,kizuna jpn m.ps. 3 a.,UVFkMzhzblJXZ2pma04rVDRYTGV6dz09,14.0,Par: DEEP IMPACT  et CATEQUIL (STORM CAT),2.L (Corde:11),,SHINJI  MAEDA,S. SASAKI,YUTAKA  TAKE,56 kg,274.080,,,,,,NORTH HILLS CO. LTD
129,8,sea moon gb m.ps. 4 a.,UjRyVVZ3Zi9RSk54WEs0M21IRVB2Zz09,1.0,Par: BEAT HOLLOW  et EVA LUNA (ALLEGED),NEZ (Corde:16),,SUC. KHALID  ABDULLAH,SIR MR. STOUTE,RYAN-LEE  MOORE,"59,5kg",,,,,,,JUDDMONTE FARMS IRELAND
342,--,imperial dancer gb m.ps. 6 a.,UlJ6SXpEQmRNV2JaMTFYMUR4NEZDZz09,5.0,Par: PRIMO DOMINIE  et GORGEOUS DANCER (NORDICO),(Corde:15),,PETER  TAPLIN,MR. CHANNON,THOMAS E.  DURCAN,"59,5kg",,,,,,,LAUNCESTON STUD
105,--,windya  f.ps. 3 a.,V0pnQWFmbjdyM2hGREtoWmk5UnpXdz09,14.0,Par: LINAMIX  et WINDY GULCH (GULCH),(Corde:07),,H.H.   AGA KHAN,JC. ROUGET-(S),THIERRY  JARNET,"54,5kg",,,,S,,3.0,SNC  LAGARDERE ELEVAGE
