,Place,Cheval,ChevalId,N°,Père/Mère,Écart au précédent,Couleurs,Propriétaire,Entraîneur,Jockey,Poids,Gain,Prim. prop.,Prim. elev.,Suppl.,Œil.,Écurie.,Éleveurs
287,5,vinnie roe ire m.ps. 5 a.,VDJ1VEd0bmJWWmw4Q2pBVTd1R0hCUT09,5.0,Par: DEFINITE ARTICLE  et KAYU (TAP ON WOOD),1.5 (Corde:13),,SEAMUS SHERIDAN/MICHAEL WATT,DK. WELD,SUC. PATRICK JOSEPH  SMULLEN,"59,5kg",45.76,,,,,,MME V. MOERAN
311,--,asian heights gb m.ps. 4 a.,VDJXUjNCTXkwZTlOL0liQU5JV0padz09,9.0,Par: HERNANDO  et MISS RINJANI (SHIRLEY HEIGHTS),(Corde:16),,SUC. J.L.C.  PEARCE,SUC. G. WRAGG,DARRYLL-PAUL  HOLLAND,"59,5kg",,,,,,,SUC. JLC. PEARCE
455,--,red rock canyon ire m.ps. 4 a.,VERWUENCaGRhQUNZY1drMjdFNEJtZz09,10.0,Par: ROCK OF GIBRALTAR  et IMAGINE (SADLER'S WELLS),(Corde:13),,TABOR/MAGNIER/SMITH/NAGLE,AP. O'BRIEN,COLM  O'DONOGHUE,"59,5kg",,,,,,1.0,"BEAVERSTONE,  TOWER BLOODSTOCK"
189,8,deirdre jpn f.ps. 6 a.,VEo0Z2ttM2xvSGhIdFV6aUVOUjBIUT09,9.0,Par: HARBINGER  et REIZEND (SPECIAL WEEK),2.5 (Corde:12),,TOJI  MORITA,M. HASHIDA,JAMES PETER  SPENCER,58 kg,,,,,,,NORTHERN FARM
387,3,sagacity  m.ps. 3 a.,VG45RTdmYTlwV3U1ZnV6T0dLdDhaUT09,10.0,Par: HIGHEST HONOR  et SAGANECA (SAGACE),1.L (Corde:11),,SNC   LAGARDERE ELEVAGE,A. FABRE,YUTAKA  TAKE,56 kg,182.939,,30.49,,,1.0,SNC  LAGARDERE ELEVAGE
275,--,celtic arms  m.ps.+,VHdMRTIwSU5ob1NRRkgzK2dSUHJ0dz09,0.0,Par: COMRADE IN ARMS  et AMOUR CELTIQUE (NORTHFIELDS),(Corde:13),,JEAN-LOUIS  BOUCHARD,P. BARY,GERALD  MOSSE,56 kg,,,,,,,G. WEGLISZEWSKI
117,--,classic cliche ire m.ps. 4 a.,VUEzZ2xMNUZZd0ZBb2dvU2VHOWtDZz09,3.0,Par: SALSE  et PATO (HIGH TOP),(Corde:12),,GODOLPHIN,S. BIN SUROOR,LANFRANCO  DETTORI,"59,5kg",,,,,,1.0,LORD  MATTHEWS
338,10,valixir (ire) m.ps. 3 a.,VUUzclVzRngwQko4UTZaUmRlWVg4QT09,12.0,Par: TREMPOLINO  et VADLAMIXA (LINAMIX),CTT (Corde:20),,FAMILLE  LAGARDERE,A. FABRE,MR ERIC  LEGRIX,56 kg,,,,,,2.0,SNC  LAGARDERE ELEVAGE
115,10,pentire gb m.ps. 4 a.,VUpUUWx4a3QyTmpiVVZzT0JoK3Q4QT09,7.0,Par: BE MY GUEST  et GULL NOOK (MILL REEF),1.L (Corde:07),,TERUYA  YOSHIDA,SUC. G. WRAGG,MICHAEL  HILLS,"59,5kg",,,,,,,LORD  HALIFAX
331,3,ouija board gb f.ps. 3 a.,VkNNTVc2bnJoWTg2dHVjMEFoWnU2dz09,20.0,Par: CAPE CROSS  et SELECTION BOARD (WELSH PAGEANT),1.L (Corde:09),,LORD   DERBY,EAL. DUNLOP,JOHN-PATRICK  MURTAGH,"54,5kg",182.88,,,,,,STANLEY ESTATE AND STUD CO.
377,9,galikova  f.ps. 3 a.,Vmo0cmJtL052cGU0aW4xUVVPNEV4dz09,16.0,Par: GALILEO  et BORN GOLD (BLUSHING GROOM),4.L (Corde:04),,WERTHEIMER & FRERE,FRE. HEAD (S),OLIVIER  PESLIER,"54,5kg",,,,,,,WERTHEIMER & FRERE
369,1,danedream ger f.ps. 3 a.,Vmx6VGluUndKMzd2TDZZTnJpWHIwQT09,15.0,Par: LOMITAS  et DANEDROP (DANEHILL),(Corde:02),,GESTUT B. EBERSTEIN/T. YOSHIDA,P. SCHIERGEN,ANDRASCH  STARKE,"54,5kg",2.285.600,,,S,,,GESTUT BRUMMERHOF
262,10,Raypour,VnR6UGVHK3NuYkkyTGNGMlpFQTkvQT09,,,,,,JOHN OXX,NIALL MCCULLAGH,,,,,,,,
289,7,dai jin gb m.ps. 3 a.,VnhJSU9ycWpRK2NlZ0hBWktFZG9rZz09,14.0,Par: PEINTRE CELEBRE  et DAWLAH (SHIRLEY HEIGHTS),ENC (Corde:05),,WH SPORT INTERNATIONAL,A. SCHUTZ,OLIVIER  PESLIER,56 kg,,,,,,,GESTUT SCHLENDERHAN
95,5,motivator gb m.ps. 3 a.,VnlRVW1Ic29FNlUyWENoZlk2a3JDZz09,12.0,Par: MONTJEU  et OUT WEST (GONE WEST),CTT (Corde:08),,ROYAL ASCOT RACING CLUB,MLW. BELL,JOHN-PATRICK  MURTAGH,56 kg,51.480,,,,,,DEERFIELD FARM
134,--,mikhail glinka ire m.ps. 5 a.,VzlEbGlTN0hBd3ZiMTdDMnJwS05TZz09,4.0,Par: GALILEO  et LADY KARR (MARK OF ESTEEM),(Corde:09),,RAMZAN  KADYROV,A. SHAVUYEV,MIRCO  DEMURO,"59,5kg",,,,,,,PAULYN LIMITED
181,19,louis d'or (ire) m.ps. 3 a.,WEtWMjBnZEtPSmV1SnAyOVg1dkpSUT09,15.0,Par: INTELLO  et SOUDANAISE (PEINTRE CELEBRE),(Corde:17),,CAMILLE  GARNIER,T. CASTANHEIRA (S),ANTOINE  HAMELIN,"56,5kg",,,,,,,DAYTON INVESTMENTS LTD
60,15,satono diamond jpn m.ps. 4 a.,WFRSdmloSlRtRmJXNGtORzR4ckFRQT09,9.0,Par: DEEP IMPACT  et MALPENSA (ORPEN),T (Corde:13),,HAJIME  SATOMI,Y. IKEE,CHRISTOPHE-PATRICE  LEMAIRE,"59,5kg",,,,,,3.0,NORTHERN RACING
341,--,mamool ire m.ps. 5 a.,WG9sVXNvd0VkOWpyQkxVWXV3TVlzUT09,3.0,Par: IN THE WINGS  et GENOVEFA (WOODMAN),(Corde:14),,GODOLPHIN,S. BIN SUROOR,LANFRANCO  DETTORI,"59,5kg",,,,,,,CHEIK MOBR. AL MAKTOUM
389,5,milan gb m.ps. 3 a.,WHdRd3MzcGk5RUtCU3paWFUxZ3F3UT09,11.0,Par: SADLER'S WELLS  et KITHANGA (DARSHAAN),1.L (Corde:01),,MICHAEL TABOR/MME JOHN MAGNIER,AP. O'BRIEN,MR MICHAEL J.  KINANE,56 kg,45.735,,,,,2.0,FITTOCKS STUD LTD
224,10,busy flight gb m.ps. 4 a.,WSt4QlI4dW1zYWF3VHEyeXhVNjBwUT09,5.0,Par: PHARLY  et BUSTLING NELLY (BUSTINO),1/2 (Corde:10),,S.WINGFIELD  DIGBY,BW. HILLS,MICHAEL  HILLS,"59,5kg",,,,,,,SW. DIGBY
86,--,hot six brz m.ps. 4 a.,WTh4VFBlSHE5RWZCZEh2OFFWRmxGUT09,9.0,Par: BUROOJ  et BABYSIX (WITH APPROVAL),(Corde:04),,ESTRELA ENERGIA STABLES,G. DUARTE,TIAGO JOSUE  PEREIRA,59 kg,,,,,,,HARAS J.B. BARROS
438,--,sea wave ire m.ps. 3 a.,WU53WFJRTlpydk1XOTBPR2pUNzVPZz09,7.0,Par: SADLER'S WELLS  et THREE TAILS (BLAKENEY),(Corde:08),,GODOLPHIN,S. BIN SUROOR,LANFRANCO  DETTORI,56 kg,,,,S,,1.0,CHEIK MOBR. AL MAKTOUM
209,13,joshua tree ire m.ps. 6 a.,WWxFUyt2Qmc4djI4VE9PM3FlRTAxQT09,4.0,Par: MONTJEU  et MADEIRA MIST (GRAND LODGE),(Corde:14),,K.K. AL NABOODA/K. ALBAHOU,EAL. DUNLOP,RICHARD  HUGHES,"59,5kg",,,,,,,"CASTLEMARTIN STUD,  ECURIE SKYMARC FARM"
116,--,tamure ire m.ps. 4 a.,WXJuYlN5MGZ6clFyZmhvQjJ0RklVUT09,2.0,Par: SADLER'S WELLS  et THREE TAILS (BLAKENEY),(Corde:14),,CHEIK MOHAMMED  AL MAKTOUM,J. GOSDEN,MR FREDERIC  HEAD,"59,5kg",,,,,,1.0,CHEIK MOBR. AL MAKTOUM
271,9,millkom gb m.ps. 3 a.,WXNMTFRrS3h2Z3paQWNEb1RMTUh6Zz09,0.0,Par: CYRANO DE BERGERAC  et GOOD GAME (MUMMY'S GAME),T (Corde:12),,JEAN-CLAUDE  GOUR,JC. ROUGET,MR JEAN-RENE  DUBOSC,56 kg,,,,,,,RG. PERCIVAL
69,6,sixties icon gb m.ps. 3 a.,WlJ2TStIa2d5ODFaTDFqRk5sbG8xZz09,6.0,Par: GALILEO  et LOVE DIVINE (DIESIS),4.L (Corde:08),,MME SUSAN  ROY,J. NOSEDA,LANFRANCO  DETTORI,56 kg,,,,S,,,LORDSHIP STUD LIMITED
188,7,stradivarius ire m.ps. 6 a.,WmxLeERDdTRtZTBTaVFOTnhzY0kwUT09,6.0,Par: SEA THE STARS  et PRIVATE LIFE (BERING),1/2 (Corde:14),,BJORN E.  NIELSEN,J. GOSDEN,OLIVIER  PESLIER,"59,5kg",,,,,,,BE. NIELSEN
214,NP,NOVELLIST,WnJNU21TZ1VWeGkwQm1VaERpa2VKdz09,2.0,CERTIFICAT VETERINAIRE,,,,,,,,,,,,,
258,6,Samum,Y0pKZlJPOWFCQkZqTmRpdkZ2Ky9OUT09,,,,,,ANDREAS SCHUTZ,ANDRASCH STARKE,,,,,,,,
137,--,kesampour  m.ps. 3 a.,Y1NPME5DajJaSnVhQjgwczVJZlNRQT09,12.0,Par: KING'S BEST  et KASATANA (HERNANDO),(Corde:15),,S.A.   AGA KHAN,M. DELZANGLES,GREGORY  BENOIST,56 kg,,,,,,2.0,S.A.  AGA KHAN
14,15,eagle top gb m.ps. 4 a.,Y1puWTl6ZGpLY2Fvd3UyTmMwQVhlZz09,2.0,Par: PIVOTAL  et GULL WING (IN THE WINGS),ENC (Corde:03),,LADY   BAMFORD,J. GOSDEN,WILLIAM  BUICK,"59,5kg",,,,,,,LADY  BAMFORD
10,11,manatee gb m.ps. 4 a.,Y29qVCtTMmJzQXhZYzdvR1A5aVpUQT09,3.0,Par: MONSUN  et GALATEE (GALILEO),2.L (Corde:01),,DARLEY SNC,A. FABRE (S),MICKAEL  BARZALONA,"59,5kg",,,,,,,DARLEY STUD MANAGEMENT CO. LTD
426,--,flamingo road ger f.ps. 3 a.,YUdaZEZBU0JGeXJxZlBNSkMycmY0dz09,13.0,Par: ACATENANGO  et FABULA DANCER (NORTHERN DANCER),(Corde:07),,HELMUT VON FINCK,A. SCHUTZ,ANDRASCH  STARKE,"54,5kg",,,,,,,H. VON FINCK
71,DI,deep impact jpn m.ps. 4 a.,YW1OcVc4TjVIS251TndRQU52YUpwZz09,1.0,Par: SUNDAY SILENCE  et WIND IN HER HAIR (ALZAO),1/2 (Corde:02),,KANEKO MAKOTO HOLDINGS CO. LTD,Y. IKEE,YUTAKA  TAKE,"59,5kg",,,,,,,NORTHERN FARM
442,1,zarkava ire f.ps. 3 a.,YWNmUDA5eEQ3dFgyNElBa3B0MlRJQT09,16.0,Par: ZAMINDAR  et ZARKASHA (KAHYASI),(Corde:01),,S.A.   AGA KHAN,A.DE ROYER DUPRE,CHRISTOPHE  SOUMILLON,"54,5kg",2.285.600,,,,,,S.A.  AGA KHAN
432,5,caitano gb m.ps. 4 a.,YXBUWDVLZ3ovVDlkU3BCRnpWK0tOdz09,4.0,Par: NINISKI  et EVERSINCE (FOOLISH PLEASURE),3/4 (Corde:05),,GARY A.  TANAKA,A. SCHUTZ,ANDRASCH  STARKE,"59,5kg",30.49,,,,,,OVERBURY STUD
139,--,saonois  m.ps. 3 a.,YXJKMFBUYzhRSkE5UnhrLzlFNjVnQT09,16.0,Par: CHICHICASTENANGO  et SAONOISE (HOMME DE LOI),(Corde:02),,PASCAL  TREYVE,JP. GAUVIN,ANTOINE  HAMELIN,56 kg,,,,S,,,EARL  HARAS DE NONANT LE PIN
58,13,plumatic (gb) m.ps. 3 a.,YXVNNGJ2ejN5Tmh3emJqZ0xocEh3Zz09,16.0,Par: DUBAWI  et PLUMANIA (ANABAA),1.5 (Corde:14),,WERTHEIMER & FRERE,A. FABRE (S),MAXIME  GUYON,"56,5kg",,,,,,,WERTHEIMER & FRERE
126,5,yellow and green gb f.ps.+,YjIyaXo3a0RGVVNLMjZZVlFacjkyUT09,17.0,Par: MONSUN  et GREEN SWALLOW (GREEN TUNE),1/2 (Corde:03),,S.A. CHEIKH ABDULLAH BIN KHALIFA  AL THA,N. CLEMENT (S),MR THIERRY  THULLIEZ,"54,5kg",114.400,,,,,,NEWSELLS PARK STUD
383,--,reliable man (gb) m.ps. 3 a.,YkRwb2FOSTN4RktyWFJ3K1dLckVCZz09,12.0,Par: DALAKHANI  et ON FAIR STAGE (SADLER'S WELLS),(Corde:07),,PRIDE RACING CLUB,A.DE ROYER DUPRE,GERALD  MOSSE,56 kg,,,,,,,FAIR SALINIA LTD
300,4,califet  m.ps. 4 a.,YkZpSkE2Z29lWFVLdTZJTmZaSzJ5dz09,2.0,Par: FREEDOM CRY  et SALLY'S ROOM (KENDOR),1/2 (Corde:01),,MME ENRIQUITA  GARCIA-GONZALEZ,G. CHEREL,THIERRY  JARNET,"59,5kg",91.36,,8.793,,,,SUC. D. MILIN
339,--,execute  m.ps. 7 a.,YnpYWDJsQVM2RSswb0UvTHFKVTVpZz09,1.0,Par: SUAVE DANCER  et SHE'S MY LOVELY (SHARPO),(Corde:17),,ECURIE CHALHOUB,JE. HAMMOND,MR DOMINIQUE  BOEUF,"59,5kg",,,,,,,ECURIE KURA
210,14,ocovango gb m.ps. 3 a.,YzBpaVBQcnZ4Nko1WmRudDg5eUVOUT09,12.0,Par: MONSUN  et CRYSTAL MAZE (GONE WEST),(Corde:13),,PRCE A.  FAISAL,A. FABRE (S),STEPHANE  PASQUIER,56 kg,,,,,,,WATERSHIP DOWN STUD
150,--,always friendly gb f.ps. 5 a.,Z1NpdDJNU085QVJsNGFTNEJCampOZz09,0.0,Par: HIGH LINE  et WISE SPECULATION (MR PROSPECTOR),(Corde:21),,SUC. FAHD  SALMAN,H. CANDY,ALAN-KEITH  MUNRO,"57,5kg",,,,,,,BLACK HILLS STUD LTD
142,3,opera house gb m.ps. 5 a.,Z3hBWVB1RWpmV20xa3MrcnVnVFFkUT09,0.0,Par: SADLER'S WELLS  et COLORSPIN (HIGH TOP),1/2 (Corde:15),,CHEIK MOHAMMED  AL MAKTOUM,SIR MR. STOUTE,MICHAEL  ROBERTS,59 kg,152.449,,,,,,MEON VALLEY STUD
273,--,big tobin ity m.ps. 5 a.,ZC83a3A2aGhuamwySzFzc3BXdG5Pdz09,0.0,Par: BIG REEF  et DARING TOBIN (J O TOBIN),(Corde:15),,SCUDERIA LADY COSTANZA,SUC. L. CAMICI,MAURIZIO  PASQUALE,59 kg,,,,,,,ALLEVAMENTO WHITE STAR S.R.L.
96,6,shawanda ire f.ps. 3 a.,ZEwrQmZLa2NhOUQ4emlFVkdUZTlZUT09,15.0,Par: SINNDAR  et SHAMAWNA (DARSHAAN),1.5 (Corde:01),,S.A.   AGA KHAN,A.DE ROYER DUPRE,CHRISTOPHE  SOUMILLON,"54,5kg",,,,,,3.0,S.A.  AGA KHAN
250,18,ivanhowe ger m.ps. 4 a.,ZGpkOS83OFFpWmJZWm1VOUdRQzk3dz09,4.0,Par: SOLDIER HOLLOW  et INDIGO GIRL (STERNKOENIG),(Corde:19),,GESTUT SCHLENDERHAN,JP. CARVALHO,WILLIAM  BUICK,"59,5kg",,,,,,,GESTUT SCHLENDERHAN
152,--,badolato usa m.ps.+,ZHAvNEJLUVBYTG0rdFRIZzR5QnZSdz09,0.0,Par: FAR NORTH  et ABSARETCH (DANCER'S IMAGE),(Corde:07),,SUC. PETER  BAUMGARTNER,A. SPANU,MR JEAN-MICHEL  BREUX,56 kg,,,,,,,P. FULLER
424,--,GENGHIS KHAN IRE M.PS. 3 a.,ZTVNYng4K3JFMHQrYVZrTmFDdFl3dz09,10.0,Par: SADLER'S WELLS  et DOFF THE DERBY (MASTER DERBY),(Corde:02),,MME JOHN MAGNIER/MICHAEL TABOR,AP. O'BRIEN,JOHN-PATRICK  MURTAGH,56 kg,,,,,,1.0,"BARRONSTOWN STUD,  RON CON LTD"
346,--,grey swallow ire m.ps. 3 a.,ZVd6ZVNDVXZCSWdmVnB0U3NLSVFvQT09,15.0,Par: DAYLAMI  et STYLE OF LIFE (THE MINSTREL),(Corde:11),,MME ROCHELLE  QUINN,DK. WELD,SUC. PATRICK JOSEPH  SMULLEN,56 kg,,,,S,,,MME CL. WELD
205,9,going somewhere brz m.ps. 4 a.,ZWd4UmkyYTlrK25ZTGRQcFhBWUZ2QT09,7.0,Par: SULAMANI  et ANGEL STAR (SPECIAL NASH),NEZ (Corde:04),,BENJAMIN  STEINBRUCH,D. SMAGA,GREGORY  BENOIST,59 kg,,,,,,,HARAS PHILLIPSON
291,9,ange gabriel  m.ps. 5 a.,ZXdFYVpzSTA1aG9xWko4U0tNTUpNUT09,2.0,Par: KALDOUNEVEES  et MOUNT GABLE (HEAD FOR HEIGHTS),3.L (Corde:07),,MME HENRI  DEVIN,E. LIBAUD,THIERRY  JARNET,"59,5kg",,,,,,,MME H. DEVIN
255,3,volvoreta gb f.ps.+,ZXh0dk9yUXEzcEJtTXR4SWZTK1drdz09,9.0,Par: SUAVE DANCER  et ROBERTIYA (DON ROBERTO),3.L (Corde:02),,SUC. ENRIQUE  SARASOLA,C. LERNER,OLIVIER  PESLIER,"54,5kg",182.939,,,,,,C. GARCIA-PARDO
103,--,samando  f.ps.+,Zk85ZCtxNkpUaUhtSm0xOVVwSTZBQT09,9.0,Par: HERNANDO  et SAMSHU (NASHWAN),(Corde:03),,HANS  WIRTH,F. DOUMEN (S),TERENCE  HELLIER,58 kg,,,,,,,B. ROOT
16,17,shahah gb f.ps. 3 a.,ZkZBbmwrWCt6TklKTHgzOCs5bnd5Zz09,17.0,Par: MOTIVATOR  et ELEGANT BEAUTY (OLDEN TIMES),(Corde:02),,AL SHAQAB RACING,MME C. HEAD,GREGORY  BENOIST,"54,5kg",,,,S,,2.0,THE KATHRYN STUD
180,18,neufbosc  m.ps. 3 a.,ZkZSOXRjWEVteXM3QXNBb1A2WUtZUT09,11.0,Par: MASTERCRAFTSMAN  et NONSUCH WAY (VERGLAS),(Corde:11),,GERARD  AUGUSTIN-NORMAND,MME P. BRANDT,CRISTIAN  DEMURO,"56,5kg",,,,,,,FRANKLIN FINANCE S.A.
307,--,boreal ger m.ps. 4 a.,ZlA4aUpVd3Q1TitUaCtpellFMEdndz09,3.0,Par: JAVA GOLD  et BRITANNIA (TARIM),(Corde:04),,GESTUT AMMERLAND,P. SCHIERGEN,ANDREAS  SUBORICS,"59,5kg",,,,,,,GESTUT AMMERLAND
272,10,king's theatre ire m.ps. 3 a.,ZlFKRTluczZqT3pRdEdVOTZTVFFQZz09,0.0,Par: SADLER'S WELLS  et REGAL BEAUTY (PRINCELY NATIVE),1/2 (Corde:05),,CHEIK MOHAMMED  AL MAKTOUM,SUC. HRA. CECIL,MR MICHAEL J.  KINANE,56 kg,,,,,,,M. POLAND
38,9,harzand ire m.ps. 3 a.,ZlVKV1p1aVFreVFka3pCOWVHc3Jsdz09,11.0,Par: SEA THE STARS  et HAZARIYA (XAAR),7/4 (Corde:06),,H.H.   AGA KHAN,DK. WELD,SUC. PATRICK JOSEPH  SMULLEN,56 kg,,,,,,1.0,S.A.  AGA KHAN
441,--,zainta ire f.ps.+,ZnhnRjBWWnlzdXI0alJhcEllNGMyQT09,13.0,Par: KAHYASI  et ZAILA (DARSHAAN),(Corde:12),,S.A.   AGA KHAN,A.DE ROYER DUPRE,GERALD  MOSSE,"54,5kg",,,,,,,S.A.  AGA KHAN
308,--,foundation spirit  m.ps. 4 a.,ZzZtNWwyQzk1TytwNHJlUGxLUzNDZz09,6.0,Par: HERNANDO  et FANNY'S COVE (MILL REEF),(Corde:14),,ROBERT  NG,F. DOUMEN,GERALD  MOSSE,"59,5kg",,,,,,,ELEVAGE HARAS DE BOURGEAUVILLE
162,--,wemyss bight gb f.ps. 3 a.,a01MV1dLUWRObXZaQXlmZS9mZGpSQT09,0.0,Par: DANCING BRAVE  et BAHAMIAN (MILL REEF),(Corde:04),,SUC. KHALID  ABDULLAH,A. FABRE,SUC. PAT  EDDERY,"54,5kg",,,,,,,JUDDMONTE FARMS IRELAND
207,11,sahawar  m.ps. 3 a.,a1hqWDF1YXFCdVFhNm45MjNSMzB5QT09,16.0,Par: DARK ANGEL  et SAARYEH (ROYAL ACADEMY),(Corde:16),,SIMON  SPRINGER,C. FERLAND (S),MR THIERRY  THULLIEZ,56 kg,,,,,,,HARAS DE BEAUVOIR
305,9,falbrav ire m.ps. 4 a.,aE1odW1mRzZGcXRhN3NyZTZ5VXZkUT09,10.0,Par: FAIRY KING  et GIFT OF THE NIGHT (SLEWPY),CTT (Corde:07),,SCUDERIA RENCATI SRL,L. D'AURIA,OLIVIER  PESLIER,"59,5kg",,,,,,,AZIENDA AGRICOLA FRANCESCA
192,11,chachnak  m.ps. 3 a.,aE9ndDRLT1ZtMjZFQkJQb0x6MDZGUT09,11.0,Par: KINGMAN  et TAMAZIRTE (DANEHILL DANCER),20L (Corde:13),,ECURIE LA VALLEE MARTIGNY EARL,F. VERMEULEN (S),TONY  PICCONE,"56,5kg",,,,,,,"ECURIE LA VALLEE MARTIGNY EARL,  ECURIE DU LOUP"
371,3,snow fairy ire f.ps. 4 a.,aEI5WHVyaVVDWGtHZExZWjlOUnBZZz09,8.0,Par: INTIKHAB  et WOODLAND DREAM (CHARNWOOD FOREST),ENC (Corde:11),,ANAMOINE LIMITED,EAL. DUNLOP,LANFRANCO  DETTORI,58 kg,457.200,,,,,,WINDFLOWER OVERSEAS HOLD. INC
325,--,el sembrador arg m.ps. 4 a.,aEg4VDB3RUYzRlJpT3BHaDR0d1NPZz09,8.0,Par: OCTANTE  et NINA FLOR (EXACTLY NATIVE),(Corde:16),,GILBERTO LUIS H.  MONTAGNA,JL. PALACIOS,GUILLERMO ENRIQUE  SENA,59 kg,,,,S,,,HARAS EL PARAISO
450,9,cima de triomphe ire m.ps. 3 a.,aUtYaVhKMkJzQzFEblB5Q0NsU09hZz09,15.0,Par: GALILEO  et SOPRAN LONDA (DANEHILL),1.L (Corde:16),,TERUYA  YOSHIDA,B. GRIZZETTI,DARIO  VARGIU,56 kg,,,,,,,SOFIM SRL
238,6,harp star jpn f.ps. 3 a.,aVIvN05EZW12VkNJa3ZyN1dXTU80QT09,19.0,Par: DEEP IMPACT  et HISTORIC STAR (FALBRAV),ENC (Corde:12),,CARROT FARM,H. MATSUDA,YUGA  KAWADA,"54,5kg",,,,,,,NORTHERN FARM
168,6,salouen ire m.ps. 4 a.,aWtjV3FPTU0yK3ZuSmJldXJCR042Zz09,2.0,Par: CANFORD CLIFFS  et GALI GAL (GALILEO),1/2 (Corde:07),,HIRAN  BALASURIYA,S. KIRK,OISIN  MURPHY,"59,5kg",,,,,,,SILVERCON EDGERODGE LTD
345,--,blue canari  m.ps. 3 a.,ajJjK0p0ODcvYUI5UkhBZkRLSGZVUT09,10.0,Par: ACATENANGO  et DELICIEUSE LADY (TREMPOLINO),(Corde:03),,ECURIE JEAN-LOUIS BOUCHARD SNC,P. BARY (S),CHRISTOPHE-PATRICE  LEMAIRE,56 kg,,,,S,,,MERIDIAN STUD
4,5,erupt (ire) m.ps. 3 a.,ajVkellKNDFIQnFMQVVmVzVnSmt6dz09,15.0,Par: DUBAWI  et MARE NOSTRUM (CAERLEON),1.5 (Corde:04),,FAMILLE  NIARCHOS,FH. GRAFFARD (S),STEPHANE  PASQUIER,56 kg,143.000,,6.75,,,,SUC. S. NIARCHOS
211,15,pirika (ire) f.ps. 5 a.,ak04VG9jcmlLQ3gxQ2l5ZExmMGdBUT09,9.0,Par: MONSUN  et PAITA (INTIKHAB),(Corde:03),,TERUYA  YOSHIDA,A. FABRE (S),PIERRE-CHARLES  BOUDOT,58 kg,,,,,,,SHADAI FARM
196,NP,SERPENTINE,akRHUjRXMk50TFVOcXRFZ3ZYUVU0dz09,14.0,CAS DE FORCE MAJEURE,,,,,,,,,,,,,
333,5,north light ire m.ps. 3 a.,amMwaThOQUlmMFM0TXIra2RoVVVCUT09,9.0,Par: DANEHILL  et SOUGHT OUT (RAINBOW QUEST),CTT (Corde:12),,BALLYMACOLL STUD FARM LTD,SIR MR. STOUTE,KIEREN-FRANCIS  FALLON,56 kg,45.76,,,,,,BALLYMACOLL STUD FARM LTD
