,Place,Cheval,ChevalId,N°,Père/Mère,Écart au précédent,Couleurs,Propriétaire,Entraîneur,Jockey,Poids,Gain,Prim. prop.,Prim. elev.,Suppl.,Œil.,Écurie.,Éleveurs
332,4,acropolis ire m.ps. 3 a.,b0dKWDZVMkZSTlN0Z1B2VzNwTXBkUT09,13.0,Par: SADLER'S WELLS  et DEDICATED LADY (PENNINE WALK),2.L (Corde:19),,MICHAEL TABOR/MME JOHN MAGNIER,AP. O'BRIEN,JAMES PETER  SPENCER,56 kg,91.36,,,,,,"QUAY BLOODSTOCK,  SAMAC LTD"
131,10,bayrir  m.ps. 3 a.,bCtPVWJoQTlRMFNRSG8xd01DdGpuQT09,11.0,Par: MEDICEAN  et BALANKIYA (DARSHAAN),2.5 (Corde:14),,S.A.   AGA KHAN,A.DE ROYER DUPRE,GERALD  MOSSE,56 kg,,,,S,,2.0,S.A.  AGA KHAN
37,8,savoir vivre ire m.ps. 3 a.,bDZjOTYzdnkvRUliV3dyKzYzMDZZZz09,15.0,Par: ADLERFLUG  et SOUDAINE (MONSUN),1.5 (Corde:10),,STALL ULLMANN,JP. CARVALHO,FREDERIK  TYLICKI,56 kg,,,,,,,STALL ULLMANN
79,7,stacelita  f.ps. 3 a.,bE9rbXV0dDVxcEtrSzMrUmo1dzBJQT09,19.0,Par: MONSUN  et SOIGNEE (DASHING BLADE),1/2 (Corde:16),,M.SCHWARTZ/ECURIE MONASTIC,JC. ROUGET-(S),CHRISTOPHE  SOUMILLON,"54,5kg",,,,S,,,JPJ. DUBOIS
119,--,darazari ire m.ps. 3 a.,bEVjQ24rSEsvSENHckljazNxc2Q5Zz09,10.0,Par: SADLER'S WELLS  et DARARA (TOP VILLE),(Corde:16),,S.A.   AGA KHAN,A.DE ROYER DUPRE,GERALD  MOSSE,56 kg,,,,,,,S.A.  AGA KHAN
409,8,nagano gold gb m.ps. 5 a.,bEZ1Zko4L2lMSG40aHRaa3owaVB4Zz09,7.0,Par: SIXTIES ICON  et NEVER ENOUGH (MONSUN),4.5 (Corde:11),,SYNDIKAT V3J,V. LUKA,MICKAEL  BARZALONA,"59,5kg",,,,,,,"J. KNIGHT, EJ. CANTILLON"
326,--,sunrise song  f.ps. 4 a.,bEhsakV6TzBxb1cxU3RkZ01mT2pxZz09,10.0,Par: GENERAL HOLME  et MARISSIYA (NISHAPOUR),(Corde:06),,SUC. JEAN  PERCEPIED,F. DOUMEN,GERALD  MOSSE,58 kg,,,,,,,SUCC CHARLES E. SCHMIDT
327,--,luso gb m.ps. 3 a.,bFZ2Y2I2NXRMcXk0ZDRtQWhaUlpGdz09,13.0,Par: SALSE  et LUCAYAN PRINCESS (HIGH LINE),(Corde:10),,SAEED  MANANA,CE. BRITTAIN,CASH  ASMUSSEN,56 kg,,,,,,,S. MANANA
372,4,so you think nz m.ps. 5 a.,bHVNbFlaeFJTRWhPc3NLeksvSSswQT09,6.0,Par: HIGH CHAPARRAL  et TRIASSIC (TIGHTS),1/2 (Corde:14),,SMITH/MME MAGNIER/TABOR/& CO,AP. O'BRIEN,JAMES-ANTHONY  HEFFERNAN,"59,5kg",228.400,,,,,1.0,"PIPER FARM LTD, MJ. MORAN"
55,10,zarak  m.ps. 4 a.,bU9FemMxZEZsMUdNdmF1SkFhM3BZZz09,1.0,Par: DUBAWI  et ZARKAVA (ZAMINDAR),3/4 (Corde:18),,S.A.   AGA KHAN,A.DE ROYER DUPRE,CHRISTOPHE  SOUMILLON,"59,5kg",,,,,,,S.A.  AGA KHAN
410,9,french king (gb) m.ps. 4 a.,bUZEU1hQSjJkbXFqNDBtcGhSSVFydz09,1.0,Par: FRENCH FIFTEEN  et MARINA PICCOLA (HALLING),4.5 (Corde:05),,S.A. CHEIKH ABDULLAH BIN KHALIFA  AL THA,HA. PANTALL,OLIVIER  PESLIER,"59,5kg",,,,,,,UMM QARN MANAGEMENT CO. LTD
279,--,richard of york gb m.ps. 4 a.,bUlBamI5VHo0ajdiR2cvMGVUc2M4Zz09,0.0,Par: RAINBOW QUEST  et TRIPLE FIRST (HIGH TOP),(Corde:17),,CHEIK MOHAMMED  AL MAKTOUM,A. FABRE,MR SYLVAIN  GUILLOT,59 kg,,,,,,,BLACK HILLS STUD LTD
225,--,steward  m.ps. 4 a.,bW1QcVNNQ1YvdHBrWEUyanJuYmRJQT09,2.0,Par: SAUMAREZ  et BELLE OMBRE (DANCING BRAVE),(Corde:03),,SUC. GEORGES  COUDE,D. SEPULCHRE,MR SYLVAIN  GUILLOT,"59,5kg",,,,,,,JC. COUDE
400,--,SADDLER'S CREEK USA M.PS. 3 a.,bWdOTHR3eHZLODVDRHh2VUdOYU5GQT09,13.0,Par: SADLER'S WELLS  et GLEEFUL (SEEKING THE GOLD),(Corde:14),,MME JOHN MAGNIER/MICHAEL TABOR,AP. O'BRIEN,PAUL J.  SCALLAN,56 kg,,,,S,,2.0,CALOGO BLOODSTOCK AG
457,--,blue bresil  m.ps. 3 a.,bXN4Y3dmQ1FiOFpPUEU5TU1ZV2xRZz09,14.0,Par: SMADOUN  et MISS RECIF (EXIT TO NOWHERE),(Corde:06),,SUC. FREDDY  TONDELIER,L. LARRIGADE,MR WILLIAM  MONGIL,56 kg,,,,,,,JL. PARIENTE
396,--,anzillero ger m.ps.+,bXRyQWFlNHVYbEVFK1FCSms3QWdtQT09,2.0,Par: LAW SOCIETY  et ANZILLE (PLUGGED NICKLE),(Corde:08),,GESTUT ERLENHOF,DK. RICHARDSON,MR KEVIN  WOODBURN,"59,5kg",,,,,,,GESTUT ERLENHOF
390,6,little rock gb m.ps.+,bjN0NkdZMm0xRk5xWHgralpGQmh6Zz09,5.0,Par: WARNING  et MUCH TOO RISKY (BUSTINO),1.5 (Corde:16),,J.M.  GREETHAM,SIR MR. STOUTE,JAMES PETER  SPENCER,"59,5kg",,,,,,,JM. GREETHAM
195,NP,MOGUL,bkl3RXJaS3dIdXk0OTdjZWFpby93dz09,13.0,CAS DE FORCE MAJEURE,,,,,,,,,,,,,
298,2,sulamani (ire) m.ps. 3 a.,bks5ejRHSWhPa3o0R2pPY3MzR3lnQT09,14.0,Par: HERNANDO  et SOUL DREAM (ALLEGED),3/4 (Corde:13),,FAMILLE  NIARCHOS,P. BARY (S),MR THIERRY  THULLIEZ,56 kg,365.76,,35.204,,,1.0,SUC. S. NIARCHOS
412,11,blast onepiece jpn m.ps. 4 a.,bytINmx4MVZBT3Z1cGlVTTEzYUlTQT09,5.0,Par: HARBINGER  et TSURUMARU ONEPIECE (KING KAMEHAMEHA),NEZ (Corde:04),,SILK RACING CO. LTD,M. OTAKE,YUGA  KAWADA,"59,5kg",,,,,,,NORTHERN FARM
251,19,free port lux (gb) m.ps. 3 a.,c0U5QS90bmdJdFNCV3d6SWhEKzlRUT09,15.0,Par: OASIS DREAM  et ROYAL HIGHNESS (MONSUN),(Corde:17),,OLIVIER  THOMAS,FRE. HEAD (S),MICKAEL  BARZALONA,56 kg,,,,,,,ECURIE DES MONCEAUX
201,5,penglai pavilion usa h.ps. 3 a.,c0hTZWZ6bWIyRHhkMEhsK3NYOTdZdz09,13.0,Par: MONSUN  et MAIDEN TOWER (GROOM DANCER),2.L (Corde:10),,DARLEY SNC,A. FABRE (S),MICKAEL  BARZALONA,56 kg,137.280,,,,,,DARLEY STUD MANAGEMENT CO. LTD
18,1,dylan thomas ire m.ps. 4 a.,c2hTVHkvbXJ6clRTR3UwTlZMRDJOUT09,2.0,Par: DANEHILL  et LAGRION (DIESIS),(Corde:06),,MME JOHN MAGNIER/MICHAEL TABOR,AP. O'BRIEN,KIEREN-FRANCIS  FALLON,"59,5kg",1.142.800,,,,,1.0,TOWER BLOODSTOCK
24,7,mandesha  f.ps. 4 a.,c2l4MEFnMXRsRHkvRnJLeVk2dXNCQT09,6.0,Par: DESERT STYLE  et MANDALARA (LAHIB),3/4 (Corde:03),,PCSSE ZAHRA  AGA KHAN,A.DE ROYER DUPRE,CHRISTOPHE  SOUMILLON,58 kg,,,,,,,PCSSE Z. AGA KHAN
323,--,strategic choice usa m.ps. 4 a.,c2p5TFNQcW5Hc0dyeVZQcWhoZVB4Zz09,2.0,Par: ALLEGED  et DANLU (DANZIG),(Corde:05),,SIR MARTYN  ARBIB,PFI. COLE,THOMAS-RICHARD  QUINN,"59,5kg",,,,,,,SIR M. ARBIB
72,1,sea the stars ire m.ps. 3 a.,c3NOZGpYL21vTnJBVXo4NXJaZWdRdz09,18.0,Par: CAPE CROSS  et URBAN SEA (MISWAKI),(Corde:06),,CHRISTOPHER  TSUI,J. OXX,MR MICHAEL J.  KINANE,56 kg,2.285.600,,,,,,SUNDERLAND HOLDING INC.
122,1,solemia (ire) f.ps. 4 a.,c3NrdkxkRTJ2bnpBU1Jkckt1M2VkQT09,10.0,Par: POLIGLOTE  et BROOKLYN'S DANCE (SHIRLEY HEIGHTS),(Corde:06),,WERTHEIMER & FRERE,C. LAFFON-PARIAS,OLIVIER  PESLIER,58 kg,2.285.600,,87.995,,,,WERTHEIMER & FRERE
456,--,kamsin ger m.ps. 3 a.,cE5mVGNibzZ2UDF3NjV2cGZ1a1VvUT09,13.0,Par: SAMUM  et KAPITOL (WINGED LOVE),(Corde:12),,STALL BLANKENESE,P. SCHIERGEN,JOHAN  VICTOIRE,56 kg,,,,S,,,GESTUT KARLSHOF
118,--,radevore gb m.ps. 3 a.,cE5pUUoxSitwdGM5STNUR3VmUGV5UT09,9.0,Par: GENEROUS  et BLOUDAN (DAMASCUS),(Corde:02),,SUC. KHALID  ABDULLAH,A. FABRE,MR SYLVAIN  GUILLOT,56 kg,,,,,,,JUDDMONTE FARMS IRELAND
415,2,el condor pasa usa m.ps. 4 a.,cEZDR25PdjRiTEk2OUlsVmgvS1VHQT09,5.0,Par: KINGMAMBO  et SADDLERS GAL (SADLER'S WELLS),1/2 (Corde:01),,TAKASHI  WATANABE,Y. NINOMIYA,MASAYOSHI  EBINA,"59,5kg",243.918,,,,,,T. WATANABE
160,--,shemaka ire f.ps. 3 a.,cG9yMjJwcktlSks4SkprUk9adHJxZz09,0.0,Par: NISHAPOUR  et SHASHNA (BLAKENEY),(Corde:03),,S.A.   AGA KHAN,A.DE ROYER DUPRE,GERALD  MOSSE,"54,5kg",,,,,,,S.A.  AGA KHAN
23,6,saddex (gb) m.ps. 4 a.,cHFPQXFzVytvaGpaTXN5WTN2WjRTdz09,4.0,Par: SADLER'S WELLS  et REMOTE ROMANCE (IRISH RIVER),4.L (Corde:02),,STALL AVENA,P. RAU,MR TORSTEN  MUNDRY,"59,5kg",,,,,,,SUC. S. NIARCHOS
295,--,kris kin usa m.ps. 3 a.,cTBPNGc4VW10WnRzT3FYNld2RGNmUT09,13.0,Par: KRIS S  et ANGEL IN MY HEART (RAINBOW QUEST),(Corde:02),,SAEED  SUHAIL,SIR MR. STOUTE,KIEREN-FRANCIS  FALLON,56 kg,,,,,,2.0,FLAXMAN HOLDINGS LTD
413,12,fierement jpn m.ps. 4 a.,cTI2WHFvOXhGY0pXUmJCSDBpRWgyQT09,6.0,Par: DEEP IMPACT  et LUNE D'OR (GREEN TUNE),15L (Corde:02),,SUNDAY RACING CO. LTD,T. TEZUKA,CHRISTOPHE-PATRICE  LEMAIRE,"59,5kg",,,,,,,NORTHERN RACING
48,3,ulysses ire m.ps. 4 a.,cTd4UlF5R2FGTnRpR0tlNjRWY3RDdz09,4.0,Par: GALILEO  et LIGHT SHIFT (KINGMAMBO),5/4 (Corde:01),,FLAXMAN ST. IRE/CHEVELEY P.S.,SIR MR. STOUTE,JAMES VINCENT  CROWLEY,"59,5kg",571.500,,,,,,FLAXMAN STABLES IRELAND L.T.D
360,--,wiener walzer ger m.ps. 4 a.,cWNmWU43djZIbDhsSVhzQ3BrWlJ1UT09,5.0,Par: DYNAFORMER  et WALZERKOENIGIN (KINGMAMBO),(Corde:06),,GESTUT SCHLENDERHAN,J. HIRSCHBERGER,TOM P.  QUEALLY,"59,5kg",,,,,,,GESTUT SCHLENDERHAN
422,--,albaran ger m.ps. 6 a.,cWczYkxoRXhVS0JtamoxOE9xM0FPQT09,3.0,Par: SURE BLADE  et ARAQUEEN (KONIGSSTUHL),(Corde:12),,STALL ALBARAN,MME C. ERICHSEN,JANOS  TANDARI,"59,5kg",,,,,,,GESTUT ERLENGRUND
335,7,latice (ire) f.ps. 3 a.,cWo2SFE1QTN4MzFMcVdlMjN6cjUydz09,19.0,Par: INCHINOR  et LARAMIE (GULCH),CTE (Corde:13),,ENRICO  CIAMPI,JM. BEGUIGNE,MR MICHAEL J.  KINANE,"54,5kg",,,,,,,PETRA BLOODSTOCK AGENCY LTD
425,--,daryaba ire f.ps. 3 a.,cit6d2drLzlXUjZlWjJpQ2pTemJwUT09,12.0,Par: NIGHT SHIFT  et DARATA (VAYRANN),(Corde:03),,S.A.   AGA KHAN,A.DE ROYER DUPRE,GERALD  MOSSE,"54,5kg",,,,,,,S.A.  AGA KHAN
283,1,dalakhani ire m.ps.+,ckY1NENrK295WjZodi9ZOVFBWjhVZz09,8.0,Par: DARSHAAN  et DALTAWA (MISWAKI),(Corde:14),,S.A.   AGA KHAN,A.DE ROYER DUPRE,CHRISTOPHE  SOUMILLON,56 kg,914.24,,,,,3.0,S.A.  AGA KHAN
102,--,norse dancer ire m.ps. 5 a.,clRYN3ZBc0RQb2JoTEdUSHJZamthUT09,6.0,Par: HALLING  et RIVER PATROL (ROUSILLON),(Corde:05),,JEFFREY COLIN  SMITH,DRC. ELSWORTH,JOHN  EGAN,"59,5kg",,,,,,,"B. FAUST, R. ERGNST"
296,NP,FONTANESI,cldpOTRyUFpIeTNTdlNFZzJGTXNPZz09,12.0,CERTIFICAT VETERINAIRE,,,,,,,,,,,,,
61,16,satono noblesse jpn m.ps. 7 a.,cnphcHp4eGdSNHFJOVBFYk05MmZBZz09,10.0,Par: DEEP IMPACT  et CRY WITH JOY (TONY BIN),1/2 (Corde:05),,HAJIME  SATOMI,Y. IKEE,YUGA  KAWADA,"59,5kg",,,,,,3.0,MEJIRO STUD
451,10,meisho samson jpn m.ps. 5 a.,czMzdVMvOTdNaTU4V1cvaHFUeU5kZz09,5.0,Par: OPERA HOUSE  et MY VIVIEN (DANCING BRAVE),CTT (Corde:04),,YOSHIO  MATSUMOTO,S. TAKAHASHI,YUTAKA  TAKE,"59,5kg",,,,,,,K. HAYASHI
41,12,left hand (gb) f.ps. 3 a.,czU4dVB6aEQxV01OeGNYMFpuaW11Zz09,16.0,Par: DUBAWI  et BALLADEUSE (SINGSPIEL),1.L (Corde:15),,WERTHEIMER & FRERE,C. LAFFON-PARIAS,MAXIME  GUYON,"54,5kg",,,,,,,WERTHEIMER & FRERE
191,10,royal julius ire m.ps. 7 a.,czliWEdqRDNROWtwMmtHMThuN3JEdz09,2.0,Par: ROYAL APPLAUSE  et HFLAH (DUBAWI),3/4 (Corde:08),,JEAN-JACQUES  BIARESE,J. REYNIER,SHANE  FOLEY,"59,5kg",,,,,,,OLD CARHUE STUD
88,--,carthage  m.ps. 3 a.,d0VXamJZZGlFTjVNY2pXbFRYRWRJUT09,13.0,Par: PEINTRE CELEBRE  et BEHKARA (KRIS),(Corde:15),,S.A.   AGA KHAN,A.DE ROYER DUPRE,GERALD  MOSSE,56 kg,,,,,,,S.A.  AGA KHAN
398,--,idaho quest gb m.ps. 4 a.,d0Z1Y0VKZ3pMTEV4ZXdzTG1tem94QT09,6.0,Par: RAINBOW QUEST  et JAVANDRA (LYPHARD),(Corde:02),,PETER-HOLM  LASSEN,HA. PANTALL,MR THIERRY  THULLIEZ,"59,5kg",,,,S,,,JUDDMONTE FARMS IRELAND
54,9,winter ire f.ps. 3 a.,d2huMXJ6SFNpbkR6aXNzUUlnZ2tlUT09,18.0,Par: GALILEO  et LADDIES POKER TWO (CHOISIR),ENC (Corde:08),,MME J. MAGNIER/M.TABOR/D.SMITH,AP. O'BRIEN,RYAN-LEE  MOORE,55 kg,,,,,,,LADDIES POKER TWO SYNDICATE
138,--,ernest hemingway ire m.ps. 3 a.,d2krK3hvYUhLdlRLZjZMTzRZK2FnUT09,15.0,Par: GALILEO  et CASSYDORA (DARSHAAN),(Corde:04),,MME J. MAGNIER/M.TABOR/D.SMITH,AP. O'BRIEN,COLM  O'DONOGHUE,56 kg,,,,,,1.0,BARRONSTOWN STUD
313,1,lammtarra usa m.ps. 3 a.,d3ZkNDdhdEIwU291cEMydDdRc3NqQT09,12.0,Par: NIJINSKY  et SNOW BRIDE (BLUSHING GROOM),(Corde:07),,SAEED MAKTOUM  AL MAKTOUM,S. BIN SUROOR,LANFRANCO  DETTORI,56 kg,609.796,,,,,,GAINSBOROUGH FARM INC.
178,16,hunting horn ire m.ps. 3 a.,d3cyTC9aMW9MbnFkUk9JVUpYVzhyQT09,16.0,Par: CAMELOT  et MORA BAI (INDIAN RIDGE),4.5 (Corde:12),,MME J. MAGNIER/M.TABOR/D.SMITH,AP. O'BRIEN,JAMES-ANTHONY  HEFFERNAN,"56,5kg",,,,,,3.0,"LYNCH-BAGES LTD,  RHINESTONE BLOODSTOCK"
385,1,sakhee usa m.ps. 4 a.,dFdtYXAvbk1SMUxyOHI0L1R5U1NpQT09,3.0,Par: BAHRI  et THAWAKIB (SADLER'S WELLS),(Corde:15),,GODOLPHIN,S. BIN SUROOR,LANFRANCO  DETTORI,"59,5kg",914.694,,,,,,SHADWELL FARM
399,--,honorifique  f.ps. 4 a.,dThvdkVybk85bHlNd0FTd3J0eWROUT09,8.0,Par: HIGHEST HONOR  et DANCEREINE (GROOM DANCER),(Corde:12),,JEAN-PIERRE  MIO,ROD. COLLET,THIERRY  GILLET,58 kg,,,,,,,SUC. B.DE TARRAGON
121,TB,polaris flight usa m.ps. 3 a.,dUJXR1p5ci8wNnNDazZ5R0NxengyUT09,11.0,Par: NORTHERN FLAGSHIP  et ANYTIMEATALL (IT'S FREEZING),(Corde:15),,MITAAB  BIN ABDULLAH,PW. CHAPPLE-HYAM,MR JOHN-ANDREW  REID,56 kg,,,,,,,B. VAN DEN DOOL
357,9,liang kay ger m.ps. 5 a.,dVd3OUVvWCtrdnFxcVVyMWRWNHNmdz09,10.0,Par: DAI JIN  et LINTON BAY (FUNAMBULE),4.L (Corde:20),,STALL EMINA,U. OSTMANN,STEPHANE  PASQUIER,"59,5kg",,,,,,,MME IE. ZIMMERMANN
366,--,midas touch gb m.ps. 3 a.,dVl6cnIxd1ZTSlg0TVZJK0g4QnVKZz09,18.0,Par: GALILEO  et APPROACH (DARSHAAN),(Corde:18),,MAGNIER/TABOR/SMITH/DENFORD,AP. O'BRIEN,JAMES-ANTHONY  HEFFERNAN,56 kg,,,,,,1.0,BELGRAVE BLOODSTOCK
194,NP,SOVEREIGN,dVloNTQvczdqZUlRWWxqZjI2Tksxdz09,5.0,CAS DE FORCE MAJEURE,,,,,,,,,,,,,
293,--,first charter gb m.ps. 4 a.,dW05aEZtVHNwbEVzSkNsblZ0UWFDdz09,6.0,Par: POLISH PRECEDENT  et BY CHARTER (SHIRLEY HEIGHTS),(Corde:12),,SAEED  SUHAIL,SIR MR. STOUTE,BRETT  DOYLE,"59,5kg",,,,S,,2.0,W. & R. BARNETT LTD
407,6,soft light  m.ps. 3 a.,dlFLNFhzN2c3WStrNWd3a090Zy9pQT09,11.0,Par: AUTHORIZED  et LIGHT SABER (KENDOR),3.5 (Corde:06),,CLAUDIO  MARZOCCO,JC. ROUGET (S),YUTAKA  TAKE,"56,5kg",,,,S,,,"SARL  JEDBURGH STUD,MME I. CORBANI"
177,15,defoe ire h.ps. 4 a.,dytmNjY1aXBDZzhnc1R2U2VlTk42dz09,1.0,Par: DALAKHANI  et DULKASHE (PIVOTAL),1/2 (Corde:18),,CHEIK MOHAMMED OBAID  AL MAKTOUM,R. VARIAN,ANDREA  ATZENI,"59,5kg",,,,,,,DARLEY STUD MANAGEMENT CO. LTD
367,DI,planteur (ire) m.ps. 3 a.,eEhRbUt5dzMvaHNCVGVUM01xL1JMQT09,16.0,Par: DANEHILL DANCER  et PLANTE RARE (GIANT'S CAUSEWAY),2.L (Corde:07),,ECURIE WILDENSTEIN,E. LELLOUCHE,ANTHONY  CRASTUS,56 kg,,,,,,2.0,DAYTON INVESTMENTS LTD
157,--,garden of heaven usa m.ps. 4 a.,eElsRDdPZm9sSnlWMm04OFZpVWxwdz09,0.0,Par: ARCTIC TERN  et GARDEN OF EDEN (EXBURY),(Corde:22),,B. H.  VOAK,CE. BRITTAIN,THOMAS-RICHARD  QUINN,59 kg,,,,,,,E. SELTZER
45,16,the grey gatsby (ire) m.ps. 5 a.,eGEzek1uazFKVHQvbHIvWTJPMzlRUT09,6.0,Par: MASTERCRAFTSMAN  et MARIE VISON (ENTREPRENEUR),5/4 (Corde:02),,FRANCIS JOSEPH  GILLESPIE,KA. RYAN,JAMES WILLIAM  DOYLE,"59,5kg",,,,,,,M. PARRISH
43,14,makahiki jpn m.ps. 3 a.,eGFJU09vRmZhSTNoWmhCam95UkNWUT09,14.0,Par: DEEP IMPACT  et WIKIWIKI (FRENCH DEPUTY),3.L (Corde:14),,KANEKO MAKOTO HOLDINGS CO. LTD,Y. TOMOMICHI,CHRISTOPHE-PATRICE  LEMAIRE,56 kg,,,,,,,KANEKO MAKOTO HOLDINGS INC.
110,5,luna wells (ire) f.ps. 3 a.,eGZRRkMybVdVeEJBZnlVVnU1ZDczZz09,15.0,Par: SADLER'S WELLS  et LUNADIX (BRETON),1.5 (Corde:09),,SNC   LAGARDERE ELEVAGE,A. FABRE,MR THIERRY  THULLIEZ,"54,5kg",30.49,,4.764,,,,SNC  LAGARDERE ELEVAGE
184,3,persian king (ire) m.ps. 4 a.,eHZpS0hMSTB6OHFVZTlQMmZUTWY4dz09,1.0,Par: KINGMAN  et PRETTY PLEASE (DYLAN THOMAS),7/4 (Corde:07),,BALLYMORE/GODOLPHIN SNC,A. FABRE (S),PIERRE-CHARLES  BOUDOT,"59,5kg",385.419,,18.209,,,,DAYTON INVESTMENTS LTD
247,15,chicquita (ire) f.ps. 4 a.,eTNtTHY4SXAxczc5ajZOTVp0OWxMZz09,9.0,Par: MONTJEU  et PRUDENZIA (DANSILI),1.5 (Corde:18),,D.SMITH/MME J.MAGNIER/M.TABOR,AP. O'BRIEN,JOSEPH PATRICK  O'BRIEN,58 kg,,,,,,,MONCEAUX / SKYMARC
365,--,lope de vega ire m.ps. 3 a.,eTRZem96TFdpWjd0SXNHWU92R1h5Zz09,17.0,Par: SHAMARDAL  et LADY VETTORI (VETTORI),(Corde:13),,GESTUT AMMERLAND,A. FABRE,MAXIME  GUYON,56 kg,,,,S,,,GESTUT AMMERLAND
149,10,market booster usa f.ps. 4 a.,eVh6UmRFeUhzVlVZWkxUcDN0WEh6dz09,0.0,Par: GREEN DANCER  et FINAL FIGURE (SUPER CONCORDE),1/2 (Corde:20),,MOYGLARE STUD FARM LTD,DK. WELD,MR MICHAEL J.  KINANE,"57,5kg",,,,,,,MOYGLARE STUD FARM LTD
124,3,masterstroke usa m.ps. 3 a.,eXB6YklZaWpoeitGVlN5Tko5MWdyQT09,14.0,Par: MONSUN  et MELIKAH (LAMMTARRA),7.L (Corde:17),,DARLEY SNC,A. FABRE,MICKAEL  BARZALONA,56 kg,457.200,,,,,,DARLEY STUD MANAGEMENT CO. LTD
259,7,Daring Miss,ejAwT1hiTXcwNk5VdEttdSs5R1lUdz09,,,,,,ANDRE FABRE,CHRISTOPHE SOUMILLON,,,,,,,,
76,5,dar re mi gb f.ps. 4 a.,ekZpcjZmZk0wQ3dudmlQTGpnc2M1dz09,10.0,Par: SINGSPIEL  et DARARA (TOP VILLE),1.L (Corde:02),,LORD   LLOYD WEBBER,J. GOSDEN,JIMMY  FORTUNE,58 kg,114.400,,,,,,WATERSHIP DOWN STUD
68,5,irish wells  m.ps. 3 a.,ekhsYzRqakZGTE1oOTR6SjBlSmQ5Zz09,7.0,Par: POLIGLOTE  et SIGN OF THE VINE (KENDOR),CTE (Corde:07),,BEREND  VAN DALFSEN,F. ROHAUT (S),MR DOMINIQUE  BOEUF,56 kg,57.200,,4.404,,,,EIGHT INTERNATIONAL RACING LTD
427,--,cerulean sky ire f.ps. 3 a.,eko4SkZmckJnYkRIcDlrdlUxZEQzdz09,14.0,Par: DARSHAAN  et SOLO DE LUNE (LAW SOCIETY),(Corde:09),,R.C.  STRAUSS,ROB. COLLET,MR SYLVAIN  GUILLOT,"54,5kg",,,,,,,KILFRUSH STUD FARM
104,--,voltmeter (ire) m.ps. 3 a.,enhhcm8wMHljS0QrQ1pZSDVoUzNYUT09,10.0,Par: GIANT'S CAUSEWAY  et VERVEINE (LEAR FAN),(Corde:12),,ECURIE WILDENSTEIN,E. LELLOUCHE,MR THIERRY  THULLIEZ,56 kg,,,,,,1.0,DAYTON INVESTMENTS LTD
