"Numero","Cheval","S/A","Distance","Jockey","Entraineur"
"1","YOUMZAIN","M7","59.5 kg","Hughes R.","Channon M.R"
"2","MARINOUS","M4","59.5 kg","Bonilla D.","Head F."
"3","FAME AND GLORY","M4","59.5 kg","Murtagh Jp.","O'brien Ap."
"4","POUVOIR ABSOLU","M5","59.5 kg","Fargeat S.","Lellouche E."
"5","WIENER WALZER","M4","59.5 kg","Queally Tom P.","Hirschberger J."
"6","CAVALRYMAN","M4","59.5 kg","Dettori L.","Bin Suroor S."
"7","NAKAYAMA FESTA","M4","59.5 kg","Ebina M.","Ninomiya Y."
"8","TIMOS","M5","59.5 kg","Fallon Kf.","Doumen T."
"9","DUNCAN","H5","59.5 kg","Buick W.","Gosden J."
"10","LIANG KAY","M5","59.5 kg","Pasquier S.","Ostmann U."
"11","NON-PARTANT","M5","59.5 kg","Blondel F.","Koplik Z."
"12","PLUMANIA","F4","58 kg","Peslier O.","Fabre A."
"13","WORKFORCE","M3","56 kg","Moore Rl.","Stoute Sir Mr."
"14","BEHKABAD","M3","56 kg","Lemaire Cp.","Rouget Jc."
"15","CAPE BLANCO","M3","56 kg","Soumillon C.","O'brien Ap."
"16","PLANTEUR","M3","56 kg","Crastus A.","Lellouche E."
"17","LOPE DE VEGA","M3","56 kg","Guyon M.","Fabre A."
"18","MIDAS TOUCH","M3","56 kg","Heffernan Ja.","O'brien Ap."
"19","VICTOIRE PISA","M3","56 kg","Take Y.","Sumii K."
"20","SARAFINA","F3","54.5 kg","Mosse G.","Royer Dupre A."