Place,Cheval,N°,Père/Mère,Écart au précédent,Couleurs,Propriétaire,Entraîneur,Jockey,Poids,Gain,Prim. prop.,Prim. elev.,Suppl.,Œil.,Écurie.,Éleveurs,Année
1,d2JMa2NYejhOVDh1OUMzNW9CT2c4UT09,08,Par: MOTIVATOR  et TREVISE (ANABAA),(Corde:03),,AL SHAQAB RACING,MME C. HEAD,THIERRY  JARNET,58 kg,2.857.000,,135.000,,,1,HARAS DU QUESNAY,2014
2,d29nU2FtRTVHbGN3NGl5S2JOUlljdz09,01,Par: DANSILI  et DANCE ROUTINE (SADLER'S WELLS),2.L (Corde:04),,SUC. KHALID  ABDULLAH,A. FABRE (S),MAXIME  GUYON,"59,5kg",1.143.000,,,,,,JUDDMONTE FARMS IRELAND,2014
3,T2ZmWGFFYXYxWWQ2LzBDdXY0WWR5QT09,18,Par: SEA THE STARS  et EZIMA (SADLER'S WELLS),5/4 (Corde:15),,SHADWELL FRANCE,J. GOSDEN,PAUL  HANAGAN,"54,5kg",571.500,,,,,,SHADWELL ESTATE CO. LTD,2014
4,MmZuaHFKMHNuc0RzbHJpN1Z3QUhEZz09,14,Par: MASTERCRAFTSMAN  et AUDACIEUSE (RAINBOW QUEST),3/4 (Corde:20),,P.D.  SMITH,R. VARIAN,ANDREA  ATZENI,56 kg,285.500,,,,,,RIDGECOURT STUD,2014
5,WWRNU2l1QUQ4YktjMkZQUFBJRysrdz09,17,Par: AZAMOUR  et DALTAMA (INDIAN RIDGE),ENC (Corde:05),,S.A.   AGA KHAN,A.DE ROYER DUPRE,CHRISTOPHE  SOUMILLON,"54,5kg",143.000,,6.750,,,,S.A.  AGA KHAN,2014
6,aVIvN05EZW12VkNJa3ZyN1dXTU80QT09,19,Par: DEEP IMPACT  et HISTORIC STAR (FALBRAV),ENC (Corde:12),,CARROT FARM,H. MATSUDA,YUGA  KAWADA,"54,5kg",,,,,,,NORTHERN FARM,2014
7,T0FSOXFzQ0VpbVNickZvcm15c0FvQT09,13,Par: ROCK OF GIBRALTAR  et PRINCESS SOFIA (PENNEKAMP),T (Corde:09),,ECURIE LA VALLEE MARTIGNY EARL,JC. ROUGET-(S),JEAN-BERNARD  EYQUEM,56 kg,,,,,,,JF. GRIBOMONT,2014
8,RVl2a3lEc1FkYTlvdW1mV0FSRXdOUT09,07,Par: HEART'S CRY  et SIBYL (WILD AGAIN),CTT (Corde:14),,AKATSUKI  YAMATOYA,N. SUGAI,YUICHI  FUKUNAGA,"59,5kg",,,,,,,SHADAI CORPORATION INC,2014
9,T284Ny8xbGpaUUxSQXhJUDcrNTl4dz09,02,Par: GALILEO  et LOVE ME TRUE (KINGMAMBO),3/4 (Corde:06),,AL SHAQAB/MAGNIER/TABOR/SMITH,AP. O'BRIEN,LANFRANCO  DETTORI,"59,5kg",,,,,,1,SOUTHERN BLOODSTOCK,2014
10,Wjl1NWVXZGlWdlI4dUJwSndENFY2QT09,03,Par: DUBAWI  et KAZEEM (DARSHAAN),NEZ (Corde:07),,DANIEL JOHN  DEER,RJ. CHARLTON,JAMES WILLIAM  DOYLE,"59,5kg",,,,,,,"DJ. DEER,MME DJ. DEER",2014
11,REdDazBNSHVPeDUxRzdXNElncFVBQT09,16,Par: LE HAVRE  et PUGGY (MARK OF ESTEEM),3/4 (Corde:01),,A.CARO/G.AUGUSTIN-NORMAND,JC. ROUGET-(S),CHRISTOPHE-PATRICE  LEMAIRE,"54,5kg",,,,,,,MME E. RIBARD,2014
12,aGV3WlRQYWh4aHhuZmdWYVJ4M2dWZz09,10,Par: SAGAMIX  et HUMORISTE (SAINT CYRIEN),NEZ (Corde:16),,E. PALLUAT DE BESSET / E. TASSIN,JP. GAUVIN,PIERRE-CHARLES  BOUDOT,58 kg,,,,,,,SUC. A. OUVRY,2014
13,a3ZsWE50QllNQ2p2M1hxM2pUQ2d2QT09,20,Par: GALILEO  et RUMPLESTILTSKIN (DANEHILL),1.L (Corde:08),,MAGNIER/TABOR/SMITH/FLAXMAN S.,AP. O'BRIEN,RYAN-LEE  MOORE,"54,5kg",,,,S,,,"ORPENDALE,SUC. S. NIARCHOS",2014
14,MlZBWmg3bVdCRmdqQzIxQ0lELzdIUT09,06,Par: STAY GOLD  et POINT FLAG (MEJIRO MCQUEEN),T (Corde:02),,KOBAYASHI EIICHI HOLDINGS LLC.,N. SUGAI,NORIHIRO  YOKOYAMA,"59,5kg",,,,,,,E. KOBAYASHI,2014
15,eTNtTHY4SXAxczc5ajZOTVp0OWxMZz09,09,Par: MONTJEU  et PRUDENZIA (DANSILI),1.5 (Corde:18),,D.SMITH/MME J.MAGNIER/M.TABOR,AP. O'BRIEN,JOSEPH PATRICK  O'BRIEN,58 kg,,,,,,,MONCEAUX / SKYMARC,2014
16,WERKQUcxZHlmWnphSys3SjB4bXJSZz09,05,Par: GALILEO  et HIDDEN SILVER (ANABAA),NEZ (Corde:13),,HSPIRIT,P. BARY (S),STEPHANE  PASQUIER,"59,5kg",,,,,,,"HARAS DES SABLONNETS,COMTE H.DE TALHOUET-ROY,  BLOODSTOCK AMARVILLAS",2014
17,Mlp1ejhKMHZENFhrUHlqanc5V3NFZz09,11,Par: HURRICANE RUN  et TONNARA (LINAMIX),(Corde:10),,AL SHAQAB RACING,E. LELLOUCHE,GREGORY  BENOIST,56 kg,,,,,,1,MONCEAUX / SKYMARC,2014
18,ZGpkOS83OFFpWmJZWm1VOUdRQzk3dz09,04,Par: SOLDIER HOLLOW  et INDIGO GIRL (STERNKOENIG),(Corde:19),,GESTUT SCHLENDERHAN,JP. CARVALHO,WILLIAM  BUICK,"59,5kg",,,,,,,GESTUT SCHLENDERHAN,2014
19,c0U5QS90bmdJdFNCV3d6SWhEKzlRUT09,15,Par: OASIS DREAM  et ROYAL HIGHNESS (MONSUN),(Corde:17),,OLIVIER  THOMAS,FRE. HEAD (S),MICKAEL  BARZALONA,56 kg,,,,,,,ECURIE DES MONCEAUX,2014
20,NmlmTFY0WGZ6bTB0MGI1SkxLa2hwZz09,12,Par: LE HAVRE  et MANITA (PEINTRE CELEBRE),(Corde:11),,GERARD  AUGUSTIN-NORMAND,E. LELLOUCHE,CYRILLE  STEFAN,56 kg,,,,,,,FRANKLIN FINANCE S.A.,2014
1,c3NOZGpYL21vTnJBVXo4NXJaZWdRdz09,18,Par: CAPE CROSS  et URBAN SEA (MISWAKI),(Corde:06),,CHRISTOPHER  TSUI,J. OXX,MR MICHAEL J.  KINANE,56 kg,2.285.600,,,,,,SUNDERLAND HOLDING INC.,2009
2,NnhGZ1B4bXkxSGtiYVFyMG9pN0cyQT09,01,Par: SINNDAR  et SADIMA (SADLER'S WELLS),2.L (Corde:01),,JABER  ABDULLAH,MR. CHANNON,KIEREN-FRANCIS  FALLON,"59,5kg",914.400,,,,,,F. DUNNE,2009
3,U3VRd1hQLzVTU3hVRW9iTkVCTVlkUT09,16,Par: HALLING  et SILVERSWORD (HIGHEST HONOR),T (Corde:19),,DARLEY SNC,A. FABRE,LANFRANCO  DETTORI,56 kg,457.200,,,S,,,DARLEY STUD MANAGEMENT CO. LTD,2009
4,SXRnUEJUcVJTcjZpSkY2ZHJCZzZsQT09,02,Par: DALAKHANI  et WELL HEAD (SADLER'S WELLS),T (Corde:12),,BALLYMACOLL STUD FARM LTD,SIR MR. STOUTE,RYAN-LEE  MOORE,"59,5kg",228.400,,,,,,BALLYMACOLL STUD FARM LTD,2009
5,ekZpcjZmZk0wQ3dudmlQTGpnc2M1dz09,10,Par: SINGSPIEL  et DARARA (TOP VILLE),1.L (Corde:02),,LORD   LLOYD WEBBER,J. GOSDEN,JIMMY  FORTUNE,58 kg,114.400,,,,,,WATERSHIP DOWN STUD,2009
6,UE15eDlDeGYrMHBMcDRYTEJZaHk3dz09,15,Par: MONTJEU  et GRYADA (SHIRLEY HEIGHTS),1.L (Corde:10),,D.SMITH/MME J.MAGNIER/M.TABOR,AP. O'BRIEN,JOHN-PATRICK  MURTAGH,56 kg,,,,,,1,"PTARMIGAN BLOODSTOCK LTD,MLLE K. RAUSING",2009
7,THhiOWRPeDdkdHRkMFpuSkdhRDZGUT09,12,Par: MONSUN  et LA BOUCHE (IN THE WINGS),1/2 (Corde:08),,EMMANUEL  TRUSSARDI,ROB. COLLET (S),THIERRY  JARNET,58 kg,,,,,,,GESTUT KARLSHOF,2009
7,bE9rbXV0dDVxcEtrSzMrUmo1dzBJQT09,19,Par: MONSUN  et SOIGNEE (DASHING BLADE),1/2 (Corde:16),,M.SCHWARTZ/ECURIE MONASTIC,JC. ROUGET-(S),CHRISTOPHE  SOUMILLON,"54,5kg",,,,S,,,JPJ. DUBOIS,2009
9,OUdvYWhXcTdneHpmSGVNc3ZaMERxZz09,04,Par: HIGH CHAPARRAL  et MOLASSES (MACHIAVELLIAN),3/4 (Corde:17),,ECURIE WILDENSTEIN,E. LELLOUCHE,ANTHONY  CRASTUS,"59,5kg",,,,,,,KILCARN STUD,2009
10,RkdjY3JKQldKa3lmQjkxaTkxNGYxUT09,03,Par: CHICHICASTENANGO  et UBERABA (GARDE ROYALE),1/2 (Corde:09),,JACQUES  DETRE,E. LIBAUD,OLIVIER  PESLIER,"59,5kg",,,,,,,SUC. G. GILLES,2009
--,SlFKWldCajFReWxLNG1wbnNYbldDZz09,05,Par: HAWK WING  et LAHINCH (DANEHILL DANCER),(Corde:18),,SERGEY  EFROS,A.DE ROYER DUPRE,MAGOMET A.  KAPPUSHEV,"59,5kg",,,,,,,MARCH THOROUGHBREDS,2009
--,TWNvYXlyZytKS1pqaGpVbG01bE1LQT09,06,Par: OKAWANGO  et WALTZING AROUND (ELA MANA MOU),(Corde:07),,THE THIRTY ACRE RACING PARTNER,RA. TEAL,DARRYLL-PAUL  HOLLAND,"59,5kg",,,,,,,T. ZWIESLER,2009
--,OWEvTkFId2VXV0hCOG9oaERMTXE1Zz09,07,Par: MONSUN  et GUERNICA (UNFUWAIN),(Corde:03),,BARON GEORG VON ULLMANN,J. HIRSCHBERGER,STEPHANE  PASQUIER,"59,5kg",,,,,,,BARON G.VON ULLMANN,2009
--,aElqYUloS2ZkRzRIVFZXUmpBRTlRUT09,08,Par: THEATRICAL  et BUNGALOW (LORD AVIE),(Corde:13),,YOKO CZ S.R.O.,Z. KOPLIK,VACLAV  JANACEK,"59,5kg",,,,,,,"HL. VANIER,MME N. VANIER,  THEATRICAL SYNDICATE",2009
--,WTh4VFBlSHE5RWZCZEh2OFFWRmxGUT09,09,Par: BUROOJ  et BABYSIX (WITH APPROVAL),(Corde:04),,ESTRELA ENERGIA STABLES,G. DUARTE,TIAGO JOSUE  PEREIRA,59 kg,,,,,,,HARAS J.B. BARROS,2009
--,T21FMkpQRDZnRzYvZXRZRHR5VUFCdz09,11,Par: VERTICAL SPEED  et FITANGA (FIJAR TANGO),(Corde:11),,R.PIRES/MME L.GAGNEUX,ROB. LAPLANCHE,IORITZ  MENDIZABAL,58 kg,,,,,,,MME L. GAGNEUX,2009
--,d0VXamJZZGlFTjVNY2pXbFRYRWRJUT09,13,Par: PEINTRE CELEBRE  et BEHKARA (KRIS),(Corde:15),,S.A.   AGA KHAN,A.DE ROYER DUPRE,GERALD  MOSSE,56 kg,,,,,,,S.A.  AGA KHAN,2009
--,MlN2ZHRiU1VFcFllandZYmh1SFF1dz09,14,Par: DANEHILL DANCER  et AHDAAB (RAHY),(Corde:14),,D.SMITH/M.TABOR/MME J.MAGNIER,AP. O'BRIEN,SEAN M.  LEVEY,56 kg,,,,,,1,"LYNCH-BAGES LTD,  SAMAC LTD",2009
--,UTBLamNvYSs0QnZrWHJESXc2WDVkZz09,17,Par: DANEHILL DANCER  et MOOD SWINGS (SHIRLEY HEIGHTS),(Corde:05),,MME J. MAGNIER/M.TABOR/D.SMITH,AP. O'BRIEN,SUC. PATRICK JOSEPH  SMULLEN,56 kg,,,,,,1,"A. STROUD, JF. HANLY",2009
1,RG1DS2Y3R0tTdWJjNmk1ZWpuelpmQT09,02,Par: GALILEO  et WALDLERCHE (MONSUN),(Corde:03),,GESTUT AMMERLAND/NEWSELLS PARK,A. FABRE (S),PIERRE-CHARLES  BOUDOT,"59,5kg",2.857.000,,,,,,THE WALDLERCHE PARTNERSHIP,2019
2,cHRPK0JXeWl3U2d5a3Y0T0xiSHBQQT09,08,Par: NATHANIEL  et CONCENTRIC (SADLER'S WELLS),7/4 (Corde:09),,SUC. KHALID  ABDULLAH,J. GOSDEN,LANFRANCO  DETTORI,58 kg,1.143.000,,,,,,JUDDMONTE FARMS IRELAND,2019
3,VmpxdVlzR1R1VGNtdUxJOGVxL0VGZz09,12,Par: SIYOUNI  et STARLET'S SISTER (GALILEO),7/4 (Corde:01),,WHITE BIRCH FARM,JC. ROUGET (S),CRISTIAN  DEMURO,"56,5kg",571.500,,27.000,,,,ECURIE DES MONCEAUX,2019
4,aER2UWw3NU5WUWlhNHZoRno1Y1FJdz09,10,Par: GALILEO  et SHASTYE (DANEHILL),1/2 (Corde:10),,D.SMITH/MME J.MAGNIER/M.TABOR,AP. O'BRIEN,RYAN-LEE  MOORE,"56,5kg",285.500,,,,,,NEWSELLS PARK STUD,2019
5,SVBpN2FvMnJyN1hZYkJ2dUNVRWxDUT09,09,Par: GALILEO  et HALFWAY TO HEAVEN (PIVOTAL),6.L (Corde:08),,D.SMITH/MME J.MAGNIER/M.TABOR,AP. O'BRIEN,DONNACHA AIDAN  O'BRIEN,58 kg,143.000,,,,,,"ORPENDALE,  CHELSTON (IRELAND),  WYNATT",2019
6,dlFLNFhzN2c3WStrNWd3a090Zy9pQT09,11,Par: AUTHORIZED  et LIGHT SABER (KENDOR),3.5 (Corde:06),,CLAUDIO  MARZOCCO,JC. ROUGET (S),YUTAKA  TAKE,"56,5kg",,,,S,,,"SARL  JEDBURGH STUD,MME I. CORBANI",2019
7,RGpqVzFISThLazdkQm1zRVFKaDJuUT09,04,Par: RULERSHIP  et BLITZ FINALE (DEEP IMPACT),8.L (Corde:07),,MME TATSUE  ISHIKAWA,K. SUMII,CHRISTOPHE  SOUMILLON,"59,5kg",,,,,,,SHIMOKOBE FARM,2019
8,bEZ1Zko4L2lMSG40aHRaa3owaVB4Zz09,07,Par: SIXTIES ICON  et NEVER ENOUGH (MONSUN),4.5 (Corde:11),,SYNDIKAT V3J,V. LUKA,MICKAEL  BARZALONA,"59,5kg",,,,,,,"J. KNIGHT, EJ. CANTILLON",2019
9,bUZEU1hQSjJkbXFqNDBtcGhSSVFydz09,01,Par: FRENCH FIFTEEN  et MARINA PICCOLA (HALLING),4.5 (Corde:05),,S.A. CHEIKH ABDULLAH BIN KHALIFA  AL THA,HA. PANTALL,OLIVIER  PESLIER,"59,5kg",,,,,,,UMM QARN MANAGEMENT CO. LTD,2019
10,OEVXa3VKb1gwRzVtenBOdkFVdjJBZz09,03,Par: DUBAWI  et NIGHTIME (GALILEO),2.5 (Corde:12),,GODOLPHIN,C. APPLEBY,WILLIAM  BUICK,"59,5kg",,,,,,,SPRINGBANK WAY STUD,2019
11,bytINmx4MVZBT3Z1cGlVTTEzYUlTQT09,05,Par: HARBINGER  et TSURUMARU ONEPIECE (KING KAMEHAMEHA),NEZ (Corde:04),,SILK RACING CO. LTD,M. OTAKE,YUGA  KAWADA,"59,5kg",,,,,,,NORTHERN FARM,2019
12,cTI2WHFvOXhGY0pXUmJCSDBpRWgyQT09,06,Par: DEEP IMPACT  et LUNE D'OR (GREEN TUNE),15L (Corde:02),,SUNDAY RACING CO. LTD,T. TEZUKA,CHRISTOPHE-PATRICE  LEMAIRE,"59,5kg",,,,,,,NORTHERN RACING,2019
1,cHRPK0JXeWl3U2d5a3Y0T0xiSHBQQT09,17,Par: NATHANIEL  et CONCENTRIC (SADLER'S WELLS),(Corde:02),,SUC. KHALID  ABDULLAH,J. GOSDEN,LANFRANCO  DETTORI,55 kg,2.857.000,,,S,,,JUDDMONTE FARMS IRELAND,2017
2,c2FDVXVlclNjNExrNk9ZSjJLaEgwUT09,05,Par: SEA THE STARS  et STRAWBERRY FLEDGE (KINGMAMBO),2.5 (Corde:03),,GODOLPHIN SNC,A. FABRE (S),MICKAEL  BARZALONA,"59,5kg",1.143.000,,,,,,P. ANASTASIOU,2017
3,cTd4UlF5R2FGTnRpR0tlNjRWY3RDdz09,04,Par: GALILEO  et LIGHT SHIFT (KINGMAMBO),5/4 (Corde:01),,FLAXMAN ST. IRE/CHEVELEY P.S.,SIR MR. STOUTE,JAMES VINCENT  CROWLEY,"59,5kg",571.500,,,,,,FLAXMAN STABLES IRELAND L.T.D,2017
4,SXFsNEYvUmtRVERCV2RSeE93Skl6UT09,12,Par: GALILEO  et ANOTHER STORM (GONE WEST),1.5 (Corde:09),,TABOR/SMITH/MAGNIER/WILLIAMS,AP. O'BRIEN,DONNACHA AIDAN  O'BRIEN,"59,5kg",285.500,,,,,2,PAGET BLOODSTOCK,2017
5,M0FkVEhqWWFwdkMrTWw3VGtTa3VuUT09,14,Par: RAJSAMAN  et MORNING LIGHT (LAW SOCIETY),5/4 (Corde:04),,AL SHAQAB/G. AUGUSTIN-NORMAND,JC. ROUGET (S),CRISTIAN  DEMURO,"56,5kg",143.000,,,,,1,H. CARDEMIL,2017
6,K0Z2WXU4MVRkUnBKTjhmRUVNYVRCdz09,08,Par: SOLDIER HOLLOW  et DIVYA (PLATINI),1/2 (Corde:10),,HORST  PUDWILL,M. KLUG,ADRIE DE VRIES,"59,5kg",,,,,,,GESTUT PARK WIEDINGEN,2017
7,TTFWM04rREc0aTFGcVl2Zyt5dVZJZz09,11,Par: ADLERFLUG  et IRIKA (AREION),T (Corde:06),,STALL MULLIGAN,HJ. GROSCHEL,ANDRASCH  STARKE,"59,5kg",,,,,,,MME E. BUHMANN,2017
8,TVhMSVg4TlJHU2EwZFVuVHFsRVVXUT09,07,Par: GALILEO  et HVEGER (DANEHILL),NEZ (Corde:07),,M.TABOR/D.SMITH/MME J.MAGNIER,AP. O'BRIEN,JAMES-ANTHONY  HEFFERNAN,"59,5kg",,,,,,2,HVEGER SYNDICATE,2017
9,d2huMXJ6SFNpbkR6aXNzUUlnZ2tlUT09,18,Par: GALILEO  et LADDIES POKER TWO (CHOISIR),ENC (Corde:08),,MME J. MAGNIER/M.TABOR/D.SMITH,AP. O'BRIEN,RYAN-LEE  MOORE,55 kg,,,,,,,LADDIES POKER TWO SYNDICATE,2017
10,bU9FemMxZEZsMUdNdmF1SkFhM3BZZz09,01,Par: DUBAWI  et ZARKAVA (ZAMINDAR),3/4 (Corde:18),,S.A.   AGA KHAN,A.DE ROYER DUPRE,CHRISTOPHE  SOUMILLON,"59,5kg",,,,,,,S.A.  AGA KHAN,2017
11,RWR5RWt3QWVRWFdnRitibDhxbGh0UT09,03,Par: FASTNET ROCK  et PRIDE (PEINTRE CELEBRE),ENC (Corde:11),,FAIR SALINIA LTD,A.DE ROYER DUPRE,JAMES WILLIAM  DOYLE,"59,5kg",,,,,,,CRAIGAVON AGRO LTD,2017
12,NUp0OVJCUU5CVENhQUczcVJ4Y2JpZz09,02,Par: SHAMARDAL  et CRYSTAL REEF (KING'S BEST),ENC (Corde:12),,AL SHAQAB RACING,A. FABRE (S),GREGORY  BENOIST,"59,5kg",,,,,,1,ECURIE HARAS BOUQUETOT SAS,2017
13,YXVNNGJ2ejN5Tmh3emJqZ0xocEh3Zz09,16,Par: DUBAWI  et PLUMANIA (ANABAA),1.5 (Corde:14),,WERTHEIMER & FRERE,A. FABRE (S),MAXIME  GUYON,"56,5kg",,,,,,,WERTHEIMER & FRERE,2017
14,NHZoWlVHMUxmNmFIeUdTa09jbDB5dz09,13,Par: GALILEO  et LA TRAVIATA (JOHANNESBURG),1/2 (Corde:17),,D.SMITH/MME J.MAGNIER/M.TABOR,AP. O'BRIEN,SUC. PATRICK JOSEPH  SMULLEN,58 kg,,,,,,4,LA TRAVIATA SYNDICATE,2017
15,WFRSdmloSlRtRmJXNGtORzR4ckFRQT09,09,Par: DEEP IMPACT  et MALPENSA (ORPEN),T (Corde:13),,HAJIME  SATOMI,Y. IKEE,CHRISTOPHE-PATRICE  LEMAIRE,"59,5kg",,,,,,3,NORTHERN RACING,2017
16,cnphcHp4eGdSNHFJOVBFYk05MmZBZz09,10,Par: DEEP IMPACT  et CRY WITH JOY (TONY BIN),1/2 (Corde:05),,HAJIME  SATOMI,Y. IKEE,YUGA  KAWADA,"59,5kg",,,,,,3,MEJIRO STUD,2017
17,aVNwNVk4YjBqZis5Yjc4K1NKbHJOZz09,15,Par: GALILEO  et DIALAFARA (ANABAA),(Corde:15),,D.SMITH/MME J.MAGNIER/M.TABOR,AP. O'BRIEN,WAYNE-MARTIN  LORDAN,"56,5kg",,,,,,4,"LYNCH-BAGES LTD,  CAMAS PARK STUD",2017
18,eElISExrSmJ5bTJud3BsV0hIa09xdz09,06,Par: SILVER FROST  et MISS BIO (RIVER MIST),(Corde:16),,MARTIN S. SCHWARTZ RACING,P. BARY (S),PIERRE-CHARLES  BOUDOT,"59,5kg",,,,,,,"MLLE ML. COLLET, J. COLLET,MME M. COLLET",2017
1,RjBiUHlWMCs1OFJJb3NOd09HdytWdz09,10,Par: GALILEO  et RED EVIE (INTIKHAB),(Corde:12),,M.TABOR/D.SMITH/MME J.MAGNIER,AP. O'BRIEN,RYAN-LEE  MOORE,58 kg,2.857.000,,,,,,"RON CON LTD,  WYNATT,  CHELSTON (IRELAND)",2016
2,QUZJRXFPMDJrZGhUM2J2anJBbjlvdz09,04,Par: GALILEO  et HVEGER (DANEHILL),7/4 (Corde:11),,D.SMITH/MME J.MAGNIER/M.TABOR,AP. O'BRIEN,JAMES-ANTHONY  HEFFERNAN,"59,5kg",1.143.000,,,,,,HVEGER SYNDICATE,2016
3,SXFsNEYvUmtRVERCV2RSeE93Skl6UT09,08,Par: GALILEO  et ANOTHER STORM (GONE WEST),1.5 (Corde:16),,WILLIAMS/MAGNIER/TABOR/SMITH,AP. O'BRIEN,LANFRANCO  DETTORI,"59,5kg",571.500,,,,,,PAGET BLOODSTOCK,2016
